 Date, Qmod[mm/d], Qobs[mm/d]
 2006-1-1,0.002,0.487
 2006-1-2,0.002,0.397
 2006-1-3,0.002,0.331
 2006-1-4,0.006,0.312
 2006-1-5,0.007,0.317
 2006-1-6,0.008,0.289
 2006-1-7,0.008,0.281
 2006-1-8,0.033,0.292
 2006-1-9,0.061,0.768
 2006-1-10,0.086,1.442
 2006-1-11,0.058,0.858
 2006-1-12,0.042,0.754
 2006-1-13,0.041,0.635
 2006-1-14,0.030,0.547
 2006-1-15,0.025,0.493
 2006-1-16,0.023,0.470
 2006-1-17,0.044,0.581
 2006-1-18,0.072,0.997
 2006-1-19,0.098,0.771
 2006-1-20,0.055,0.652
 2006-1-21,0.036,0.620
 2006-1-22,0.032,0.547
 2006-1-23,0.028,0.493
 2006-1-24,0.025,0.448
 2006-1-25,0.022,0.419
 2006-1-26,0.019,0.411
 2006-1-27,0.017,0.388
 2006-1-28,0.016,0.382
 2006-1-29,0.023,0.365
 2006-1-30,0.028,0.382
 2006-1-31,0.034,0.331
 2006-2-1,0.017,0.312
 2006-2-2,0.014,0.295
 2006-2-3,0.013,0.289
 2006-2-4,0.012,0.303
 2006-2-5,0.011,0.314
 2006-2-6,0.010,0.258
 2006-2-7,0.009,0.245
 2006-2-8,0.008,0.244
 2006-2-9,0.007,0.224
 2006-2-10,0.007,0.260
 2006-2-11,0.006,0.241
 2006-2-12,0.006,0.233
 2006-2-13,0.005,0.274
 2006-2-14,0.005,0.331
 2006-2-15,0.079,0.363
 2006-2-16,0.206,1.980
 2006-2-17,0.384,2.717
 2006-2-18,0.415,2.974
 2006-2-19,0.518,3.711
 2006-2-20,0.611,2.278
 2006-2-21,0.614,1.496
 2006-2-22,0.359,1.159
 2006-2-23,0.276,0.938
 2006-2-24,0.173,0.824
 2006-2-25,0.148,0.748
 2006-2-26,0.135,0.669
 2006-2-27,0.125,0.541
 2006-2-28,0.117,0.550
 2006-3-1,0.111,0.493
 2006-3-2,0.185,0.510
 2006-3-3,0.474,0.963
 2006-3-4,0.900,4.646
 2006-3-5,1.060,5.297
 2006-3-6,0.645,2.824
 2006-3-7,0.463,2.246
 2006-3-8,0.716,5.836
 2006-3-9,1.072,4.023
 2006-3-10,0.956,2.552
 2006-3-11,0.808,2.071
 2006-3-12,0.713,1.484
 2006-3-13,0.409,1.178
 2006-3-14,0.354,1.034
 2006-3-15,0.337,0.901
 2006-3-16,0.323,0.785
 2006-3-17,0.312,0.711
 2006-3-18,0.304,0.660
 2006-3-19,0.296,0.652
 2006-3-20,0.288,0.612
 2006-3-21,0.282,0.578
 2006-3-22,0.331,0.535
 2006-3-23,0.472,0.510
 2006-3-24,0.700,1.343
 2006-3-25,0.829,3.059
 2006-3-26,0.896,2.510
 2006-3-27,0.886,1.547
 2006-3-28,0.931,1.527
 2006-3-29,0.848,1.762
 2006-3-30,1.112,4.532
 2006-3-31,0.949,2.889
 2006-4-1,0.829,1.671
 2006-4-2,0.585,1.751
 2006-4-3,0.558,1.388
 2006-4-4,0.499,1.099
 2006-4-5,0.486,1.235
 2006-4-6,0.482,1.040
 2006-4-7,0.455,0.847
 2006-4-8,0.441,0.745
 2006-4-9,0.443,0.688
 2006-4-10,0.444,0.626
