 Date, Qmod[mm/d], Qobs[mm/d]
 2009-1-1,0.000,0.977
 2009-1-2,0.000,0.887
 2009-1-3,0.000,0.819
 2009-1-4,0.000,0.696
 2009-1-5,0.000,0.653
 2009-1-6,0.000,0.711
 2009-1-7,0.000,0.624
 2009-1-8,0.000,0.545
 2009-1-9,0.000,0.560
 2009-1-10,0.000,0.523
 2009-1-11,0.000,0.516
 2009-1-12,0.000,0.506
 2009-1-13,0.000,0.551
 2009-1-14,0.000,0.604
 2009-1-15,0.000,0.572
 2009-1-16,0.000,0.546
 2009-1-17,0.000,0.521
 2009-1-18,0.000,0.947
 2009-1-19,0.061,2.021
 2009-1-20,0.147,1.728
 2009-1-21,0.158,1.195
 2009-1-22,0.202,1.142
 2009-1-23,0.340,6.266
 2009-1-24,0.465,5.462
 2009-1-25,0.490,3.862
 2009-1-26,0.509,2.825
 2009-1-27,0.562,2.261
 2009-1-28,0.590,1.946
 2009-1-29,0.491,1.653
 2009-1-30,0.388,1.465
 2009-1-31,0.337,1.352
 2009-2-1,0.309,1.292
 2009-2-2,0.309,1.420
 2009-2-3,0.360,1.503
 2009-2-4,0.347,1.503
 2009-2-5,0.477,1.510
 2009-2-6,0.513,1.322
 2009-2-7,0.673,1.270
 2009-2-8,0.668,1.262
 2009-2-9,0.766,1.315
 2009-2-10,0.781,1.728
 2009-2-11,0.897,1.367
 2009-2-12,0.831,1.352
 2009-2-13,0.816,1.337
 2009-2-14,0.778,1.270
 2009-2-15,0.725,1.127
 2009-2-16,0.602,1.059
 2009-2-17,0.534,1.134
 2009-2-18,0.477,1.488
 2009-2-19,0.430,1.195
 2009-2-20,0.382,1.097
 2009-2-21,0.339,1.052
 2009-2-22,0.320,1.067
 2009-2-23,0.298,1.195
 2009-2-24,0.271,1.097
 2009-2-25,0.254,0.999
 2009-2-26,0.241,0.879
 2009-2-27,0.210,0.804
 2009-2-28,0.175,0.766
 2009-3-1,0.152,0.751
 2009-3-2,0.134,0.733
 2009-3-3,0.120,0.705
 2009-3-4,0.109,0.924
 2009-3-5,0.121,1.052
 2009-3-6,0.110,0.774
 2009-3-7,0.104,0.658
 2009-3-8,0.130,0.658
 2009-3-9,0.151,0.804
 2009-3-10,0.164,1.172
 2009-3-11,0.199,1.908
 2009-3-12,0.210,1.232
 2009-3-13,0.209,1.082
 2009-3-14,0.201,0.992
 2009-3-15,0.181,0.909
 2009-3-16,0.143,0.826
 2009-3-17,0.122,0.774
 2009-3-18,0.109,0.723
 2009-3-19,0.098,0.665
 2009-3-20,0.086,0.621
 2009-3-21,0.074,0.587
 2009-3-22,0.065,0.560
 2009-3-23,0.072,0.536
 2009-3-24,0.087,0.705
 2009-3-25,0.096,0.654
 2009-3-26,0.112,0.665
 2009-3-27,0.120,0.924
 2009-3-28,0.121,1.322
 2009-3-29,0.108,0.999
 2009-3-30,0.093,0.804
 2009-3-31,0.074,0.728
 2009-4-1,0.062,0.675
 2009-4-2,0.053,0.645
 2009-4-3,0.046,0.615
 2009-4-4,0.041,0.572
 2009-4-5,0.036,0.536
 2009-4-6,0.032,0.509
 2009-4-7,0.046,0.513
 2009-4-8,0.041,0.561
 2009-4-9,0.040,0.507
 2009-4-10,0.040,0.500
 2009-4-11,0.053,0.448
 2009-4-12,0.041,0.497
 2009-4-13,0.035,0.449
 2009-4-14,0.033,0.429
 2009-4-15,0.043,0.404
 2009-4-16,0.079,0.403
 2009-4-17,0.134,0.421
 2009-4-18,0.137,0.402
 2009-4-19,0.166,0.374
 2009-4-20,0.185,0.373
 2009-4-21,0.173,0.325
 2009-4-22,0.123,0.303
 2009-4-23,0.098,0.288
 2009-4-24,0.078,0.279
 2009-4-25,0.074,0.297
 2009-4-26,0.331,0.887
 2009-4-27,0.325,1.307
 2009-4-28,0.417,1.089
 2009-4-29,0.519,1.473
 2009-4-30,0.592,1.420
 2009-5-1,0.670,0.872
 2009-5-2,0.564,0.675
 2009-5-3,0.467,0.566
 2009-5-4,0.382,0.500
 2009-5-5,0.344,0.462
 2009-5-6,0.309,0.454
 2009-5-7,0.293,0.435
 2009-5-8,0.285,0.402
 2009-5-9,0.247,0.400
 2009-5-10,0.219,0.377
 2009-5-11,0.205,0.529
 2009-5-12,0.204,0.375
 2009-5-13,0.220,0.337
 2009-5-14,0.254,2.013
 2009-5-15,0.416,2.284
 2009-5-16,0.465,1.202
 2009-5-17,0.489,0.872
 2009-5-18,0.507,0.733
 2009-5-19,0.549,0.616
 2009-5-20,0.448,0.530
 2009-5-21,0.358,0.505
 2009-5-22,0.304,1.022
 2009-5-23,0.275,0.553
 2009-5-24,0.246,0.440
 2009-5-25,0.218,0.360
 2009-5-26,0.254,0.348
 2009-5-27,0.224,0.415
 2009-5-28,0.208,0.343
 2009-5-29,0.201,0.326
 2009-5-30,0.200,0.270
 2009-5-31,0.161,0.241
 2009-6-1,0.137,0.231
 2009-6-2,0.123,0.223
 2009-6-3,0.115,0.206
 2009-6-4,0.102,0.201
 2009-6-5,0.146,0.216
 2009-6-6,0.269,1.412
 2009-6-7,0.413,0.804
 2009-6-8,0.529,0.609
 2009-6-9,0.723,1.195
 2009-6-10,0.934,0.568
 2009-6-11,0.959,0.443
 2009-6-12,0.904,0.344
 2009-6-13,0.869,0.295
 2009-6-14,0.805,0.269
 2009-6-15,1.079,1.014
 2009-6-16,0.898,1.195
 2009-6-17,0.871,0.511
 2009-6-18,0.881,0.370
 2009-6-19,0.990,0.316
 2009-6-20,0.984,0.302
 2009-6-21,0.797,0.276
 2009-6-22,0.706,0.251
 2009-6-23,0.672,0.231
 2009-6-24,0.580,0.214
 2009-6-25,0.499,0.207
 2009-6-26,0.447,0.230
 2009-6-27,0.473,0.286
 2009-6-28,0.428,0.220
 2009-6-29,0.399,0.195
 2009-6-30,0.386,0.265
 2009-7-1,0.372,0.413
 2009-7-2,0.300,0.219
 2009-7-3,0.254,0.189
 2009-7-4,0.225,0.440
 2009-7-5,0.203,0.841
 2009-7-6,0.181,0.527
 2009-7-7,0.170,0.358
 2009-7-8,0.150,0.355
 2009-7-9,0.134,0.268
 2009-7-10,0.121,0.239
 2009-7-11,0.110,0.216
 2009-7-12,0.095,0.204
 2009-7-13,0.089,0.221
 2009-7-14,0.167,3.358
 2009-7-15,0.161,1.510
 2009-7-16,0.280,0.759
 2009-7-17,0.340,1.082
 2009-7-18,0.412,0.879
 2009-7-19,0.388,0.726
 2009-7-20,0.406,0.574
 2009-7-21,0.354,0.454
 2009-7-22,0.315,1.119
 2009-7-23,0.288,1.856
 2009-7-24,0.293,1.232
 2009-7-25,0.274,0.781
 2009-7-26,0.265,0.596
 2009-7-27,0.257,0.500
 2009-7-28,0.230,0.452
 2009-7-29,0.184,0.383
 2009-7-30,0.157,0.336
 2009-7-31,0.138,0.310
 2009-8-1,0.124,0.293
 2009-8-2,0.151,0.651
 2009-8-3,0.133,0.500
 2009-8-4,0.124,0.337
 2009-8-5,0.120,0.275
 2009-8-6,0.120,0.243
