 Date, Qmod[mm/d], Qobs[mm/d]
 2009-1-1,0.000,4.191
 2009-1-2,0.000,3.420
 2009-1-3,0.000,2.726
 2009-1-4,0.000,2.206
 2009-1-5,0.000,1.803
 2009-1-6,0.000,1.543
 2009-1-7,0.000,1.268
 2009-1-8,0.000,1.029
 2009-1-9,0.000,0.867
 2009-1-10,0.000,0.769
 2009-1-11,0.000,0.676
 2009-1-12,0.000,0.617
 2009-1-13,0.000,0.576
 2009-1-14,0.000,0.571
 2009-1-15,0.000,0.568
 2009-1-16,0.000,0.537
 2009-1-17,0.000,0.494
 2009-1-18,0.000,0.494
 2009-1-19,0.012,0.535
 2009-1-20,0.060,0.573
 2009-1-21,0.098,0.501
 2009-1-22,0.123,0.460
 2009-1-23,0.220,1.085
 2009-1-24,0.425,2.170
 2009-1-25,0.650,2.880
 2009-1-26,0.699,2.453
 2009-1-27,0.657,1.936
 2009-1-28,0.628,1.571
 2009-1-29,0.611,1.291
 2009-1-30,0.601,1.111
 2009-1-31,0.576,0.993
 2009-2-1,0.501,0.908
 2009-2-2,0.463,0.874
 2009-2-3,0.534,1.795
 2009-2-4,0.574,2.597
 2009-2-5,0.724,2.726
 2009-2-6,0.915,4.423
 2009-2-7,1.230,6.223
 2009-2-8,1.678,4.834
 2009-2-9,1.832,3.600
 2009-2-10,1.869,2.880
 2009-2-11,1.935,2.232
 2009-2-12,1.920,1.880
 2009-2-13,1.868,1.607
 2009-2-14,1.807,1.389
 2009-2-15,1.616,1.209
 2009-2-16,1.378,1.077
 2009-2-17,1.200,1.044
 2009-2-18,1.027,1.880
 2009-2-19,0.881,1.707
 2009-2-20,0.754,1.533
 2009-2-21,0.647,1.396
 2009-2-22,0.568,1.301
 2009-2-23,0.513,1.283
 2009-2-24,0.460,1.157
 2009-2-25,0.402,1.013
 2009-2-26,0.352,0.900
 2009-2-27,0.308,0.815
 2009-2-28,0.271,0.764
 2009-3-1,0.240,0.733
 2009-3-2,0.215,0.751
 2009-3-3,0.190,0.679
 2009-3-4,0.169,0.658
 2009-3-5,0.161,0.746
 2009-3-6,0.151,0.643
 2009-3-7,0.134,0.573
 2009-3-8,0.119,0.535
 2009-3-9,0.111,0.566
 2009-3-10,0.119,0.566
 2009-3-11,0.136,0.759
 2009-3-12,0.148,0.697
 2009-3-13,0.131,0.669
 2009-3-14,0.117,0.645
 2009-3-15,0.106,0.620
 2009-3-16,0.096,0.571
 2009-3-17,0.087,0.532
 2009-3-18,0.079,0.512
 2009-3-19,0.070,0.491
 2009-3-20,0.062,0.471
 2009-3-21,0.055,0.450
 2009-3-22,0.048,0.429
 2009-3-23,0.049,0.409
 2009-3-24,0.066,0.525
 2009-3-25,0.087,0.501
 2009-3-26,0.092,0.478
 2009-3-27,0.081,0.440
 2009-3-28,0.077,0.473
 2009-3-29,0.079,0.463
 2009-3-30,0.071,0.414
 2009-3-31,0.064,0.381
 2009-4-1,0.057,0.373
 2009-4-2,0.050,0.363
 2009-4-3,0.045,0.355
 2009-4-4,0.040,0.347
 2009-4-5,0.035,0.334
