 Date, Qmod[mm/d], Qobs[mm/d]
 2008-1-1,0.000,0.383
 2008-1-2,0.000,0.352
 2008-1-3,0.000,0.461
 2008-1-4,0.001,0.531
 2008-1-5,0.107,0.510
 2008-1-6,0.856,0.550
 2008-1-7,1.736,0.555
 2008-1-8,1.145,0.576
 2008-1-9,0.658,0.572
 2008-1-10,0.504,0.558
 2008-1-11,0.828,0.570
 2008-1-12,3.649,1.067
 2008-1-13,4.323,1.110
 2008-1-14,3.871,0.967
 2008-1-15,4.789,1.104
 2008-1-16,2.991,1.282
 2008-1-17,2.918,1.287
 2008-1-18,2.877,1.107
 2008-1-19,2.030,1.111
 2008-1-20,1.702,1.298
 2008-1-21,1.529,1.440
 2008-1-22,1.558,1.318
 2008-1-23,1.409,1.240
 2008-1-24,1.116,1.073
 2008-1-25,0.953,1.029
 2008-1-26,0.819,1.070
 2008-1-27,0.709,1.072
 2008-1-28,0.617,1.343
 2008-1-29,0.539,1.627
 2008-1-30,0.480,1.500
 2008-1-31,0.433,1.357
 2008-2-1,0.716,1.254
 2008-2-2,1.111,1.155
 2008-2-3,0.945,1.058
 2008-2-4,1.128,1.189
 2008-2-5,1.014,1.102
 2008-2-6,1.494,1.080
 2008-2-7,2.105,1.048
 2008-2-8,1.118,1.027
 2008-2-9,0.877,0.972
 2008-2-10,0.732,0.910
 2008-2-11,0.633,0.923
 2008-2-12,0.553,0.866
 2008-2-13,0.481,0.895
 2008-2-14,0.416,0.839
 2008-2-15,0.361,0.855
 2008-2-16,0.314,0.802
 2008-2-17,0.273,0.784
 2008-2-18,0.239,0.782
 2008-2-19,0.210,0.786
 2008-2-20,0.184,0.784
 2008-2-21,0.163,0.788
 2008-2-22,0.143,0.793
 2008-2-23,0.127,0.830
 2008-2-24,0.112,0.958
 2008-2-25,0.100,1.108
 2008-2-26,0.088,1.151
 2008-2-27,0.078,1.158
 2008-2-28,0.069,1.176
 2008-2-29,0.062,1.218
 2008-3-1,0.128,1.162
 2008-3-2,0.203,1.326
 2008-3-3,0.126,1.559
 2008-3-4,0.233,1.537
 2008-3-5,0.375,1.293
 2008-3-6,0.346,1.085
 2008-3-7,0.210,1.056
 2008-3-8,0.169,0.963
 2008-3-9,0.146,0.905
 2008-3-10,1.236,1.191
 2008-3-11,2.693,1.391
 2008-3-12,3.885,1.407
 2008-3-13,2.672,1.601
 2008-3-14,2.046,1.477
 2008-3-15,1.552,1.531
 2008-3-16,1.702,2.173
 2008-3-17,2.047,2.086
 2008-3-18,1.817,1.702
 2008-3-19,1.292,1.533
 2008-3-20,1.105,1.377
 2008-3-21,1.315,1.189
 2008-3-22,1.914,1.131
 2008-3-23,2.132,1.095
 2008-3-24,1.505,1.005
 2008-3-25,1.408,1.068
 2008-3-26,1.308,0.977
 2008-3-27,1.055,0.929
