 Date, Qmod[mm/d], Qobs[mm/d]
 2009-1-1,0.000,2.177
 2009-1-2,0.000,2.108
 2009-1-3,0.000,2.091
 2009-1-4,0.000,2.022
 2009-1-5,0.000,2.004
 2009-1-6,0.001,1.987
 2009-1-7,0.064,1.987
 2009-1-8,0.284,1.918
 2009-1-9,0.252,1.814
 2009-1-10,0.236,1.763
 2009-1-11,0.233,1.745
 2009-1-12,0.242,1.745
 2009-1-13,0.260,1.780
 2009-1-14,0.286,1.814
 2009-1-15,0.318,1.832
 2009-1-16,0.354,1.797
 2009-1-17,0.325,1.797
 2009-1-18,0.255,1.814
 2009-1-19,0.266,1.849
 2009-1-20,0.441,6.290
 2009-1-21,0.382,5.426
 2009-1-22,0.342,3.715
 2009-1-23,0.429,3.370
 2009-1-24,0.461,********
 2009-1-25,0.491,********
 2009-1-26,0.527,********
 2009-1-27,0.542,********
 2009-1-28,0.562,********
 2009-1-29,0.557,********
 2009-1-30,0.528,********
 2009-1-31,0.525,********
 2009-2-1,0.523,********
 2009-2-2,0.650,********
 2009-2-3,0.575,********
 2009-2-4,0.848,********
 2009-2-5,0.893,********
 2009-2-6,1.330,5.149
 2009-2-7,1.899,11.750
 2009-2-8,1.842,6.860
 2009-2-9,1.870,5.063
 2009-2-10,1.967,4.389
 2009-2-11,2.051,3.940
 2009-2-12,2.150,3.473
 2009-2-13,2.228,3.093
 2009-2-14,2.237,2.817
 2009-2-15,2.164,2.540
 2009-2-16,1.860,2.402
 2009-2-17,1.502,2.367
 2009-2-18,1.275,2.333
 2009-2-19,1.097,2.264
 2009-2-20,0.950,2.195
 2009-2-21,0.826,2.195
 2009-2-22,0.722,2.281
 2009-2-23,0.633,2.367
 2009-2-24,0.558,2.436
 2009-2-25,0.494,2.436
 2009-2-26,0.439,2.506
 2009-2-27,0.393,2.920
 2009-2-28,0.353,3.732
 2009-3-1,0.441,5.046
 2009-3-2,0.543,6.238
 2009-3-3,0.498,5.892
 2009-3-4,0.590,5.806
 2009-3-5,1.005,6.273
 2009-3-6,0.952,5.702
 2009-3-7,0.940,4.493
 2009-3-8,0.961,4.337
 2009-3-9,1.009,4.355
 2009-3-10,1.047,4.199
 2009-3-11,1.052,3.992
 2009-3-12,1.055,3.871
 2009-3-13,1.068,4.285
 2009-3-14,0.970,4.303
 2009-3-15,0.793,4.683
 2009-3-16,0.684,5.495
 2009-3-17,0.600,5.288
 2009-3-18,0.530,4.959
 2009-3-19,0.471,4.977
 2009-3-20,0.421,4.527
 2009-3-21,0.379,3.784
 2009-3-22,0.343,3.370
