 Date, Qmod[mm/d], Qobs[mm/d]
 2011-1-1,0.000,1.125
 2011-1-2,0.000,1.132
 2011-1-3,0.000,1.074
 2011-1-4,0.000,1.029
 2011-1-5,0.009,1.004
 2011-1-6,0.049,3.103
 2011-1-7,0.121,5.956
 2011-1-8,0.109,4.228
 2011-1-9,0.271,3.261
 2011-1-10,0.242,2.776
 2011-1-11,0.317,2.132
 2011-1-12,0.321,1.897
 2011-1-13,0.354,2.088
 2011-1-14,0.381,1.952
 2011-1-15,0.341,1.791
 2011-1-16,0.303,1.588
 2011-1-17,0.267,1.493
 2011-1-18,0.282,1.386
 2011-1-19,0.307,1.625
 2011-1-20,0.300,1.555
 2011-1-21,0.265,1.427
 2011-1-22,0.232,1.342
 2011-1-23,0.203,1.309
 2011-1-24,0.178,1.272
 2011-1-25,0.177,1.324
 2011-1-26,0.236,1.574
 2011-1-27,0.210,1.390
 2011-1-28,0.185,1.254
 2011-1-29,0.163,1.202
 2011-1-30,0.144,1.162
 2011-1-31,0.129,1.092
 2011-2-1,0.115,1.059
 2011-2-2,0.102,1.007
 2011-2-3,0.147,1.114
 2011-2-4,0.128,1.026
 2011-2-5,0.112,0.989
 2011-2-6,0.098,0.963
 2011-2-7,0.085,0.967
 2011-2-8,0.074,0.989
 2011-2-9,0.065,0.941
 2011-2-10,0.071,0.908
 2011-2-11,0.062,0.978
 2011-2-12,0.060,0.897
 2011-2-13,0.053,0.915
 2011-2-14,0.046,0.871
 2011-2-15,0.040,0.868
 2011-2-16,0.035,0.857
 2011-2-17,0.031,0.868
 2011-2-18,0.027,0.827
 2011-2-19,0.024,0.820
 2011-2-20,0.037,0.805
 2011-2-21,0.032,0.827
 2011-2-22,0.028,0.798
 2011-2-23,0.025,0.783
 2011-2-24,0.034,0.765
 2011-2-25,0.030,0.790
 2011-2-26,0.037,0.757
 2011-2-27,0.073,0.904
 2011-2-28,0.064,0.798
 2011-3-1,0.056,0.735
 2011-3-2,0.049,0.724
 2011-3-3,0.043,0.713
