 Date, Qmod[mm/d], Qobs[mm/d]
 2009-1-1,0.000,0.352
 2009-1-2,0.000,0.339
 2009-1-3,0.000,0.331
 2009-1-4,0.000,0.326
 2009-1-5,0.046,0.339
 2009-1-6,0.037,0.318
 2009-1-7,0.029,0.312
 2009-1-8,0.023,0.310
 2009-1-9,0.019,0.308
 2009-1-10,0.015,0.305
 2009-1-11,0.012,0.303
 2009-1-12,0.009,0.301
 2009-1-13,0.007,0.299
 2009-1-14,0.006,0.298
 2009-1-15,0.005,0.295
 2009-1-16,0.004,0.307
 2009-1-17,0.003,0.329
 2009-1-18,0.064,0.677
 2009-1-19,0.134,0.690
 2009-1-20,0.105,0.565
 2009-1-21,0.082,0.401
 2009-1-22,0.065,0.372
 2009-1-23,0.368,1.163
 2009-1-24,0.291,0.889
 2009-1-25,0.231,0.489
 2009-1-26,0.186,0.423
 2009-1-27,0.153,0.386
 2009-1-28,0.127,0.374
 2009-1-29,0.105,0.354
 2009-1-30,0.087,0.345
 2009-1-31,0.074,0.334
 2009-2-1,0.063,0.333
 2009-2-2,0.052,0.330
 2009-2-3,0.043,0.324
 2009-2-4,0.035,0.322
 2009-2-5,0.037,0.327
 2009-2-6,0.033,0.357
 2009-2-7,0.343,0.481
 2009-2-8,0.244,0.493
 2009-2-9,0.345,0.381
 2009-2-10,0.529,1.306
 2009-2-11,0.557,0.888
 2009-2-12,0.431,0.600
 2009-2-13,0.385,0.512
 2009-2-14,0.326,0.533
 2009-2-15,0.368,0.465
 2009-2-16,0.546,0.522
 2009-2-17,0.638,1.764
 2009-2-18,0.516,0.992
 2009-2-19,0.436,0.688
 2009-2-20,0.382,0.649
 2009-2-21,0.532,0.602
 2009-2-22,0.584,1.192
 2009-2-23,0.509,1.650
 2009-2-24,0.436,1.450
 2009-2-25,0.389,1.068
 2009-2-26,0.354,0.963
 2009-2-27,0.314,1.173
 2009-2-28,0.281,1.097
 2009-3-1,0.256,0.904
 2009-3-2,0.239,0.813
 2009-3-3,0.218,0.716
 2009-3-4,0.196,0.659
 2009-3-5,0.363,0.635
 2009-3-6,0.637,1.879
 2009-3-7,0.539,2.289
 2009-3-8,0.726,1.459
 2009-3-9,0.691,1.478
 2009-3-10,0.778,1.965
 2009-3-11,0.677,1.993
 2009-3-12,0.801,1.574
 2009-3-13,0.692,1.860
 2009-3-14,0.618,1.326
 2009-3-15,0.571,1.144
 2009-3-16,0.522,1.011
 2009-3-17,0.488,0.919
 2009-3-18,0.446,0.835
 2009-3-19,0.410,0.786
 2009-3-20,0.374,0.714
 2009-3-21,0.346,0.675
 2009-3-22,0.313,0.643
 2009-3-23,0.407,0.643
 2009-3-24,0.355,0.808
 2009-3-25,0.493,0.973
 2009-3-26,0.621,1.154
 2009-3-27,0.655,1.345
 2009-3-28,0.613,1.316
 2009-3-29,0.527,1.020
 2009-3-30,0.469,0.876
 2009-3-31,0.429,0.797
 2009-4-1,0.395,0.748
 2009-4-2,0.368,0.704
 2009-4-3,0.347,0.634
 2009-4-4,0.326,0.582
 2009-4-5,0.305,0.559
 2009-4-6,0.281,0.571
 2009-4-7,0.259,0.546
 2009-4-8,0.241,0.525
 2009-4-9,0.225,0.530
 2009-4-10,0.212,0.516
 2009-4-11,0.201,0.522
 2009-4-12,0.191,0.527
 2009-4-13,0.182,0.521
 2009-4-14,0.174,0.522
 2009-4-15,0.166,0.519
 2009-4-16,0.406,0.539
 2009-4-17,0.617,0.963
 2009-4-18,0.729,1.316
 2009-4-19,0.597,0.717
 2009-4-20,0.504,0.545
 2009-4-21,0.444,0.501
 2009-4-22,0.400,0.470
 2009-4-23,0.364,0.465
 2009-4-24,0.334,0.461
 2009-4-25,0.311,0.446
 2009-4-26,0.292,0.430
 2009-4-27,0.340,0.426
 2009-4-28,0.303,0.685
 2009-4-29,0.339,0.498
 2009-4-30,0.299,0.485
 2009-5-1,0.267,0.442
 2009-5-2,0.241,0.429
 2009-5-3,0.266,0.418
 2009-5-4,0.238,0.406
 2009-5-5,0.232,0.453
 2009-5-6,0.209,0.475
 2009-5-7,0.230,0.396
 2009-5-8,0.206,0.443
 2009-5-9,0.215,0.477
 2009-5-10,0.291,0.486
 2009-5-11,0.269,0.513
 2009-5-12,0.441,0.673
 2009-5-13,0.368,0.461
 2009-5-14,0.311,0.384
 2009-5-15,0.538,0.494
 2009-5-16,0.452,0.529
 2009-5-17,0.469,0.362
 2009-5-18,0.396,0.578
 2009-5-19,0.343,0.382
 2009-5-20,0.303,0.358
 2009-5-21,0.297,0.338
 2009-5-22,0.262,0.388
 2009-5-23,0.235,0.325
 2009-5-24,0.213,0.305
 2009-5-25,0.190,0.307
 2009-5-26,0.172,0.358
 2009-5-27,0.155,0.304
 2009-5-28,0.141,0.295
 2009-5-29,0.129,0.297
 2009-5-30,0.118,0.283
 2009-5-31,0.109,0.271
 2009-6-1,0.102,0.271
 2009-6-2,0.095,0.273
 2009-6-3,0.088,0.265
 2009-6-4,0.083,0.280
 2009-6-5,0.192,0.282
 2009-6-6,0.388,1.049
 2009-6-7,0.487,0.624
 2009-6-8,0.408,0.416
 2009-6-9,0.351,0.379
 2009-6-10,0.371,0.345
 2009-6-11,0.354,0.409
 2009-6-12,0.298,0.431
 2009-6-13,0.255,0.298
 2009-6-14,0.381,0.266
 2009-6-15,0.843,1.478
 2009-6-16,0.713,1.306
 2009-6-17,0.590,0.441
 2009-6-18,0.501,0.349
 2009-6-19,0.436,0.319
 2009-6-20,0.388,0.282
 2009-6-21,0.561,0.312
 2009-6-22,0.460,0.378
 2009-6-23,0.389,0.296
 2009-6-24,0.337,0.261
 2009-6-25,0.301,0.345
 2009-6-26,0.258,0.292
 2009-6-27,0.289,0.296
 2009-6-28,0.247,0.264
 2009-6-29,0.213,0.255
 2009-6-30,0.193,0.257
 2009-7-1,0.168,0.241
 2009-7-2,0.148,0.237
 2009-7-3,0.132,0.267
 2009-7-4,0.118,0.236
 2009-7-5,0.181,0.218
 2009-7-6,0.401,0.548
 2009-7-7,0.488,0.695
 2009-7-8,0.477,1.059
 2009-7-9,0.389,0.382
 2009-7-10,0.325,0.348
 2009-7-11,0.278,0.281
 2009-7-12,0.242,0.269
 2009-7-13,0.573,0.408
 2009-7-14,0.528,1.106
 2009-7-15,0.445,0.481
 2009-7-16,0.475,0.312
 2009-7-17,0.721,0.503
 2009-7-18,0.624,0.489
 2009-7-19,0.519,0.424
 2009-7-20,0.435,0.333
 2009-7-21,0.373,0.290
 2009-7-22,0.327,0.274
 2009-7-23,0.521,0.592
 2009-7-24,0.505,0.341
 2009-7-25,0.426,0.299
 2009-7-26,0.367,0.278
 2009-7-27,0.353,0.277
 2009-7-28,0.304,0.280
 2009-7-29,0.263,0.252
 2009-7-30,0.231,0.234
 2009-7-31,0.205,0.230
 2009-8-1,0.184,0.227
 2009-8-2,0.187,0.230
 2009-8-3,0.165,0.257
 2009-8-4,0.148,0.225
 2009-8-5,0.133,0.221
 2009-8-6,0.121,0.211
 2009-8-7,0.111,0.211
 2009-8-8,0.102,0.212
 2009-8-9,0.097,0.216
 2009-8-10,0.131,0.237
 2009-8-11,0.117,0.260
 2009-8-12,0.176,0.224
 2009-8-13,0.177,0.359
 2009-8-14,0.152,0.274
 2009-8-15,0.132,0.202
 2009-8-16,0.116,0.189
 2009-8-17,0.107,0.189
 2009-8-18,0.095,0.196
 2009-8-19,0.085,0.186
 2009-8-20,0.085,0.179
 2009-8-21,0.082,0.198
 2009-8-22,0.073,0.196
 2009-8-23,0.066,0.186
 2009-8-24,0.060,0.179
 2009-8-25,0.055,0.180
 2009-8-26,0.050,0.179
 2009-8-27,0.046,0.177
 2009-8-28,0.042,0.173
 2009-8-29,0.039,0.170
 2009-8-30,0.036,0.167
 2009-8-31,0.033,0.172
 2009-9-1,0.036,0.179
 2009-9-2,0.035,0.191
 2009-9-3,0.209,0.454
 2009-9-4,0.576,0.605
 2009-9-5,0.491,0.352
 2009-9-6,0.398,0.218
 2009-9-7,0.332,0.213
 2009-9-8,0.285,0.195
 2009-9-9,0.251,0.185
 2009-9-10,0.218,0.196
 2009-9-11,0.193,0.194
 2009-9-12,0.175,0.184
 2009-9-13,0.193,0.216
 2009-9-14,0.280,0.284
 2009-9-15,0.231,0.276
 2009-9-16,0.193,0.215
 2009-9-17,0.165,0.204
 2009-9-18,0.143,0.204
 2009-9-19,0.125,0.191
 2009-9-20,0.113,0.192
 2009-9-21,0.100,0.200
 2009-9-22,0.090,0.198
 2009-9-23,0.082,0.195
 2009-9-24,0.074,0.197
 2009-9-25,0.067,0.189
 2009-9-26,0.061,0.188
 2009-9-27,0.056,0.186
 2009-9-28,0.051,0.195
 2009-9-29,0.047,0.190
 2009-9-30,0.044,0.193
 2009-10-1,0.041,0.195
 2009-10-2,0.039,0.189
 2009-10-3,0.036,0.185
 2009-10-4,0.034,0.179
 2009-10-5,0.303,0.322
 2009-10-6,0.328,0.379
 2009-10-7,0.257,0.258
