 Date, Qmod[mm/d], Qobs[mm/d]
 2010-1-1,0.000,3.617
 2010-1-2,0.000,3.149
 2010-1-3,0.000,2.809
 2010-1-4,0.001,2.580
 2010-1-5,0.003,2.482
 2010-1-6,0.009,2.248
 2010-1-7,0.013,2.040
 2010-1-8,0.020,1.895
 2010-1-9,0.028,1.798
 2010-1-10,0.040,1.734
 2010-1-11,0.053,1.662
 2010-1-12,0.069,1.628
 2010-1-13,0.097,1.577
 2010-1-14,0.153,1.479
 2010-1-15,0.515,2.537
 2010-1-16,0.566,9.392
 2010-1-17,0.782,7.480
 2010-1-18,0.833,6.630
 2010-1-19,0.929,5.567
 2010-1-20,1.056,5.185
 2010-1-21,1.147,4.760
 2010-1-22,1.306,5.652
 2010-1-23,1.507,4.887
 2010-1-24,1.552,4.173
 2010-1-25,1.546,3.583
 2010-1-26,1.494,3.153
 2010-1-27,1.408,2.915
 2010-1-28,1.382,2.762
 2010-1-29,1.419,2.775
 2010-1-30,1.478,2.448
 2010-1-31,1.403,2.257
 2010-2-1,1.365,2.121
 2010-2-2,1.358,2.397
 2010-2-3,1.329,2.333
 2010-2-4,1.353,2.350
 2010-2-5,1.375,2.320
 2010-2-6,1.353,2.163
 2010-2-7,1.272,2.087
 2010-2-8,1.190,2.031
 2010-2-9,1.108,1.925
 2010-2-10,1.045,1.815
 2010-2-11,0.978,1.721
 2010-2-12,0.901,1.649
 2010-2-13,0.811,1.581
 2010-2-14,0.729,1.530
 2010-2-15,0.669,1.509
 2010-2-16,0.625,1.479
 2010-2-17,0.581,1.441
 2010-2-18,0.567,1.419
 2010-2-19,0.593,1.351
 2010-2-20,0.611,1.300
 2010-2-21,0.629,1.283
 2010-2-22,0.656,1.237
 2010-2-23,0.655,1.228
 2010-2-24,0.687,1.441
 2010-2-25,0.763,1.547
 2010-2-26,0.807,1.500
 2010-2-27,0.866,1.645
 2010-2-28,0.905,1.585
 2010-3-1,0.882,1.504
 2010-3-2,0.850,1.458
 2010-3-3,0.825,1.436
 2010-3-4,0.791,1.373
 2010-3-5,0.749,1.330
 2010-3-6,0.705,1.288
 2010-3-7,0.658,1.237
