 Date, Qmod[mm/d], Qobs[mm/d]
 2009-1-1,0.000,0.378
 2009-1-2,0.000,0.367
 2009-1-3,0.000,0.359
 2009-1-4,0.000,0.350
 2009-1-5,0.000,0.342
 2009-1-6,0.000,0.333
 2009-1-7,0.000,0.328
 2009-1-8,0.000,0.322
 2009-1-9,0.000,0.314
 2009-1-10,0.000,0.333
 2009-1-11,0.000,0.333
 2009-1-12,0.000,0.333
 2009-1-13,0.000,0.333
 2009-1-14,0.000,0.333
 2009-1-15,0.000,0.333
 2009-1-16,0.001,0.333
 2009-1-17,0.001,0.333
 2009-1-18,0.001,0.333
 2009-1-19,0.000,0.333
 2009-1-20,0.000,0.333
 2009-1-21,0.001,0.333
 2009-1-22,0.001,0.333
 2009-1-23,0.019,0.333
 2009-1-24,0.023,0.333
 2009-1-25,0.032,0.336
 2009-1-26,0.036,0.336
 2009-1-27,0.094,0.336
 2009-1-28,0.135,0.336
 2009-1-29,0.141,0.336
 2009-1-30,0.150,0.336
 2009-1-31,0.159,0.333
 2009-2-1,0.175,0.319
 2009-2-2,0.205,0.308
 2009-2-3,0.187,0.299
 2009-2-4,0.178,0.294
 2009-2-5,0.168,0.291
 2009-2-6,0.162,0.297
 2009-2-7,0.159,0.316
 2009-2-8,0.160,0.508
 2009-2-9,0.145,0.390
 2009-2-10,0.270,0.339
 2009-2-11,0.438,0.723
 2009-2-12,0.461,0.520
 2009-2-13,0.509,0.443
 2009-2-14,0.549,0.469
 2009-2-15,0.608,0.508
 2009-2-16,0.627,0.395
 2009-2-17,0.601,0.370
 2009-2-18,0.542,0.551
 2009-2-19,0.497,0.426
 2009-2-20,0.480,0.362
 2009-2-21,0.491,0.328
 2009-2-22,0.499,0.322
 2009-2-23,0.544,0.339
 2009-2-24,0.585,0.333
 2009-2-25,0.587,0.311
 2009-2-26,0.603,0.311
 2009-2-27,0.638,0.362
 2009-2-28,0.633,0.542
 2009-3-1,0.607,0.864
 2009-3-2,0.578,0.941
 2009-3-3,0.536,1.712
 2009-3-4,0.502,3.361
 2009-3-5,0.462,5.253
 2009-3-6,0.501,5.338
 2009-3-7,0.608,3.446
 2009-3-8,0.639,2.723
 2009-3-9,0.666,2.556
 2009-3-10,0.720,2.118
 2009-3-11,0.792,1.887
 2009-3-12,0.827,1.599
 2009-3-13,0.858,1.974
 2009-3-14,0.813,2.070
 2009-3-15,0.796,2.325
 2009-3-16,0.753,3.220
 2009-3-17,0.707,2.785
 2009-3-18,0.665,2.333
 2009-3-19,0.612,1.844
 2009-3-20,0.555,1.505
 2009-3-21,0.497,1.342
 2009-3-22,0.444,1.251
 2009-3-23,0.405,1.299
 2009-3-24,0.412,1.779
 2009-3-25,0.383,1.480
 2009-3-26,0.377,1.370
