 Date, Qmod[mm/d], Qobs[mm/d]
 2011-1-1,0.000,0.747
 2011-1-2,0.000,0.703
 2011-1-3,0.000,0.681
 2011-1-4,0.000,0.701
 2011-1-5,0.000,0.643
 2011-1-6,0.000,0.636
 2011-1-7,0.004,0.648
 2011-1-8,0.103,0.730
 2011-1-9,0.390,0.893
 2011-1-10,1.474,1.297
 2011-1-11,1.216,1.011
 2011-1-12,1.012,0.914
 2011-1-13,1.467,0.866
 2011-1-14,1.154,0.924
 2011-1-15,0.881,0.923
 2011-1-16,0.728,0.809
 2011-1-17,0.640,0.818
 2011-1-18,0.573,0.810
 2011-1-19,0.533,0.780
 2011-1-20,0.545,0.738
 2011-1-21,0.499,0.710
 2011-1-22,0.438,0.664
 2011-1-23,0.382,0.602
 2011-1-24,0.336,0.575
 2011-1-25,0.340,0.599
 2011-1-26,0.294,0.597
 2011-1-27,0.254,0.587
 2011-1-28,0.223,0.562
 2011-1-29,0.198,0.528
 2011-1-30,0.176,0.515
 2011-1-31,0.156,0.508
 2011-2-1,0.139,0.527
 2011-2-2,0.124,0.520
 2011-2-3,0.110,0.513
 2011-2-4,0.098,0.540
 2011-2-5,0.087,0.671
 2011-2-6,0.077,0.724
 2011-2-7,0.069,0.792
 2011-2-8,0.061,0.847
 2011-2-9,0.054,0.860
 2011-2-10,0.048,0.852
 2011-2-11,0.043,0.820
 2011-2-12,0.038,0.762
 2011-2-13,0.034,0.684
 2011-2-14,0.030,0.710
 2011-2-15,0.115,0.632
 2011-2-16,0.839,0.769
 2011-2-17,0.647,0.700
 2011-2-18,0.437,0.662
 2011-2-19,0.327,0.600
 2011-2-20,0.596,0.578
 2011-2-21,0.776,0.595
 2011-2-22,0.702,0.584
 2011-2-23,0.539,0.567
 2011-2-24,0.532,0.547
 2011-2-25,0.465,0.507
 2011-2-26,0.726,0.477
 2011-2-27,0.830,0.467
 2011-2-28,0.651,0.495
 2011-3-1,0.528,0.496
 2011-3-2,0.454,0.492
 2011-3-3,0.397,0.458
 2011-3-4,0.348,0.495
 2011-3-5,0.311,0.488
 2011-3-6,0.281,0.452
 2011-3-7,0.256,0.449
 2011-3-8,0.230,0.453
 2011-3-9,0.204,0.476
 2011-3-10,0.181,0.479
 2011-3-11,0.160,0.477
 2011-3-12,0.148,0.483
 2011-3-13,0.174,0.489
 2011-3-14,0.162,0.545
 2011-3-15,0.506,0.573
 2011-3-16,1.014,3.485
 2011-3-17,2.364,3.317
 2011-3-18,2.250,1.448
 2011-3-19,1.884,1.123
 2011-3-20,1.416,0.873
 2011-3-21,1.135,0.916
 2011-3-22,0.955,0.870
 2011-3-23,0.835,0.786
 2011-3-24,0.750,0.783
 2011-3-25,0.684,0.796
 2011-3-26,0.628,0.792
 2011-3-27,0.585,0.672
 2011-3-28,0.517,0.839
 2011-3-29,0.454,0.799
 2011-3-30,0.401,0.778
 2011-3-31,0.389,0.738
 2011-4-1,0.346,0.700
 2011-4-2,0.303,0.777
 2011-4-3,0.267,0.763
 2011-4-4,0.297,0.878
 2011-4-5,0.248,0.871
 2011-4-6,0.210,0.833
 2011-4-7,0.183,0.850
 2011-4-8,0.161,1.210
 2011-4-9,0.143,1.112
 2011-4-10,0.127,0.936
 2011-4-11,0.113,0.842
 2011-4-12,0.142,0.716
 2011-4-13,0.126,0.609
 2011-4-14,0.106,0.561
 2011-4-15,0.092,0.617
 2011-4-16,0.081,0.538
 2011-4-17,0.072,0.507
 2011-4-18,0.064,0.518
 2011-4-19,0.056,0.516
 2011-4-20,0.050,0.508
 2011-4-21,0.045,0.519
 2011-4-22,0.040,0.502
 2011-4-23,0.036,0.505
 2011-4-24,0.032,0.455
 2011-4-25,0.028,0.502
 2011-4-26,0.025,0.518
 2011-4-27,0.022,0.530
 2011-4-28,0.070,0.555
 2011-4-29,0.296,0.553
 2011-4-30,0.214,0.557
 2011-5-1,0.147,0.463
 2011-5-2,0.152,0.500
 2011-5-3,0.159,0.498
 2011-5-4,0.134,0.487
 2011-5-5,0.112,0.478
 2011-5-6,0.099,0.470
 2011-5-7,0.089,0.417
 2011-5-8,0.081,0.411
 2011-5-9,0.072,0.514
 2011-5-10,0.064,0.470
 2011-5-11,0.057,0.503
 2011-5-12,0.074,0.488
 2011-5-13,0.285,0.480
 2011-5-14,1.439,1.670
 2011-5-15,1.649,0.937
 2011-5-16,1.153,0.572
 2011-5-17,0.844,0.571
 2011-5-18,0.682,0.485
 2011-5-19,0.577,0.440
 2011-5-20,0.501,0.406
 2011-5-21,0.482,0.441
 2011-5-22,0.434,0.405
 2011-5-23,0.402,0.433
 2011-5-24,0.360,0.417
 2011-5-25,0.317,0.408
 2011-5-26,0.331,0.465
 2011-5-27,0.984,0.864
 2011-5-28,0.742,0.525
 2011-5-29,0.548,0.416
 2011-5-30,0.440,0.437
 2011-5-31,0.987,0.437
 2011-6-1,2.434,1.792
 2011-6-2,1.770,0.851
 2011-6-3,1.717,0.503
 2011-6-4,1.528,0.532
 2011-6-5,1.677,0.980
 2011-6-6,1.899,2.851
 2011-6-7,1.909,1.626
 2011-6-8,1.813,1.183
 2011-6-9,1.954,0.963
 2011-6-10,1.632,0.694
 2011-6-11,1.330,0.634
 2011-6-12,1.168,0.508
 2011-6-13,1.032,0.524
 2011-6-14,0.936,0.517
 2011-6-15,0.848,0.450
 2011-6-16,0.885,0.473
 2011-6-17,1.728,1.226
 2011-6-18,3.617,15.519
 2011-6-19,2.763,5.119
 2011-6-20,2.088,1.441
 2011-6-21,2.406,0.937
 2011-6-22,2.416,0.871
 2011-6-23,3.200,2.302
 2011-6-24,2.448,1.070
