 Date, Qmod[mm/d], Qobs[mm/d]
 2013-1-1,0.000,3.613
 2013-1-2,0.001,4.790
 2013-1-3,0.001,5.288
 2013-1-4,0.001,5.330
 2013-1-5,0.001,5.136
 2013-1-6,0.001,4.818
 2013-1-7,0.002,4.485
 2013-1-8,0.014,4.195
 2013-1-9,0.018,3.946
 2013-1-10,0.019,3.710
 2013-1-11,0.022,3.489
 2013-1-12,0.025,3.295
 2013-1-13,0.029,3.101
 2013-1-14,0.041,2.907
 2013-1-15,0.052,2.727
 2013-1-16,0.071,2.561
 2013-1-17,0.072,2.409
 2013-1-18,0.065,2.257
 2013-1-19,0.058,2.118
 2013-1-20,0.054,2.007
 2013-1-21,0.051,1.897
 2013-1-22,0.048,1.800
 2013-1-23,0.047,1.703
 2013-1-24,0.045,1.620
 2013-1-25,0.042,1.537
 2013-1-26,0.037,1.454
 2013-1-27,0.041,1.398
 2013-1-28,0.156,1.372
 2013-1-29,0.170,1.351
 2013-1-30,0.161,1.384
 2013-1-31,0.160,1.454
 2013-2-1,0.163,1.495
 2013-2-2,0.171,1.509
 2013-2-3,0.184,1.495
 2013-2-4,0.287,1.467
 2013-2-5,0.350,1.467
 2013-2-6,0.394,1.454
 2013-2-7,0.362,1.412
 2013-2-8,0.337,1.362
 2013-2-9,0.333,1.322
 2013-2-10,0.327,1.289
 2013-2-11,0.323,1.243
 2013-2-12,0.333,1.192
 2013-2-13,0.327,1.155
 2013-2-14,0.304,1.117
 2013-2-15,0.274,1.083
 2013-2-16,0.241,1.055
 2013-2-17,0.217,1.019
 2013-2-18,0.197,0.995
 2013-2-19,0.176,0.972
 2013-2-20,0.159,0.951
 2013-2-21,0.146,0.932
 2013-2-22,0.139,0.905
 2013-2-23,0.130,0.885
 2013-2-24,0.123,0.857
 2013-2-25,0.115,0.832
 2013-2-26,0.110,0.815
 2013-2-27,0.096,0.796
 2013-2-28,0.084,0.772
 2013-3-1,0.074,0.754
 2013-3-2,0.065,0.735
 2013-3-3,0.058,0.717
 2013-3-4,0.050,0.702
 2013-3-5,0.044,0.689
 2013-3-6,0.038,0.680
 2013-3-7,0.033,0.676
 2013-3-8,0.029,0.667
 2013-3-9,0.026,0.655
 2013-3-10,0.022,0.642
 2013-3-11,0.020,0.633
 2013-3-12,0.017,0.619
 2013-3-13,0.015,0.605
 2013-3-14,0.013,0.593
 2013-3-15,0.012,0.580
 2013-3-16,0.011,0.565
 2013-3-17,0.010,0.550
 2013-3-18,0.010,0.533
 2013-3-19,0.010,0.522
 2013-3-20,0.011,0.508
 2013-3-21,0.012,0.494
 2013-3-22,0.013,0.486
 2013-3-23,0.014,0.478
 2013-3-24,0.016,0.467
 2013-3-25,0.018,0.458
 2013-3-26,0.015,0.451
 2013-3-27,0.013,0.439
 2013-3-28,0.012,0.431
 2013-3-29,0.010,0.417
 2013-3-30,0.009,0.408
 2013-3-31,0.008,0.403
 2013-4-1,0.007,0.396
 2013-4-2,0.006,0.392
 2013-4-3,0.005,0.386
 2013-4-4,0.004,0.382
 2013-4-5,0.004,0.379
 2013-4-6,0.003,0.378
 2013-4-7,0.003,0.372
 2013-4-8,0.003,0.368
 2013-4-9,0.002,0.364
 2013-4-10,0.002,0.357
 2013-4-11,0.002,0.353
 2013-4-12,0.003,0.354
 2013-4-13,0.004,0.363
 2013-4-14,0.031,0.367
 2013-4-15,0.048,0.408
 2013-4-16,0.060,0.460
 2013-4-17,0.081,0.522
 2013-4-18,0.196,0.670
 2013-4-19,0.204,0.991
 2013-4-20,0.221,1.257
 2013-4-21,0.239,1.454
 2013-4-22,0.267,1.564
 2013-4-23,0.296,1.647
 2013-4-24,0.361,1.689
 2013-4-25,0.378,1.758
 2013-4-26,0.380,1.800
 2013-4-27,0.364,1.814
 2013-4-28,0.340,1.800
 2013-4-29,0.399,1.869
 2013-4-30,0.384,2.021
 2013-5-1,0.375,2.090
 2013-5-2,0.356,2.104
 2013-5-3,0.338,2.063
 2013-5-4,0.322,2.021
 2013-5-5,0.308,1.938
 2013-5-6,0.295,1.855
 2013-5-7,0.278,1.772
 2013-5-8,0.295,1.703
 2013-5-9,0.263,1.689
 2013-5-10,0.242,1.689
 2013-5-11,0.233,1.703
 2013-5-12,0.226,1.703
 2013-5-13,0.264,1.703
 2013-5-14,0.268,1.758
 2013-5-15,0.277,1.772
 2013-5-16,0.292,1.744
 2013-5-17,0.287,1.703
 2013-5-18,0.280,1.647
 2013-5-19,0.279,1.592
 2013-5-20,0.265,1.551
 2013-5-21,0.266,1.495
 2013-5-22,0.267,1.481
 2013-5-23,0.248,1.467
 2013-5-24,0.236,1.426
 2013-5-25,0.230,1.384
 2013-5-26,0.231,1.333
 2013-5-27,0.237,1.285
 2013-5-28,0.241,1.242
 2013-5-29,0.270,1.229
 2013-5-30,0.264,1.261
 2013-5-31,0.259,1.269
 2013-6-1,0.250,1.247
 2013-6-2,0.248,1.210
 2013-6-3,0.252,1.173
 2013-6-4,0.261,1.137
 2013-6-5,0.267,1.102
 2013-6-6,0.275,1.069
 2013-6-7,0.260,1.036
 2013-6-8,0.244,1.001
 2013-6-9,0.217,0.966
 2013-6-10,0.193,0.930
 2013-6-11,0.173,0.894
 2013-6-12,0.207,0.853
 2013-6-13,0.208,0.857
 2013-6-14,0.192,0.861
 2013-6-15,0.263,0.838
 2013-6-16,0.318,0.847
 2013-6-17,0.310,0.856
 2013-6-18,0.311,0.860
 2013-6-19,0.323,0.854
 2013-6-20,0.340,0.849
 2013-6-21,0.377,0.835
 2013-6-22,0.390,0.869
 2013-6-23,0.444,0.871
 2013-6-24,0.480,0.889
 2013-6-25,0.464,0.912
 2013-6-26,0.461,0.919
 2013-6-27,0.537,0.979
 2013-6-28,0.542,1.076
 2013-6-29,0.605,1.174
 2013-6-30,0.617,1.398
 2013-7-1,0.640,1.578
 2013-7-2,0.649,1.675
 2013-7-3,0.656,1.675
 2013-7-4,0.669,1.661
 2013-7-5,0.658,1.606
 2013-7-6,0.633,1.523
 2013-7-7,0.597,1.467
 2013-7-8,0.537,1.382
 2013-7-9,0.480,1.304
 2013-7-10,0.432,1.199
 2013-7-11,0.392,1.137
 2013-7-12,0.357,1.077
 2013-7-13,0.312,1.016
 2013-7-14,0.272,0.954
 2013-7-15,0.238,0.901
 2013-7-16,0.209,0.850
 2013-7-17,0.185,0.808
 2013-7-18,0.162,0.767
 2013-7-19,0.141,0.719
 2013-7-20,0.124,0.688
 2013-7-21,0.108,0.659
 2013-7-22,0.095,0.623
 2013-7-23,0.086,0.591
 2013-7-24,0.116,0.568
 2013-7-25,0.127,0.572
 2013-7-26,0.122,0.562
 2013-7-27,0.122,0.551
 2013-7-28,0.127,0.537
 2013-7-29,0.137,0.525
 2013-7-30,0.153,0.505
 2013-7-31,0.169,0.504
 2013-8-1,0.189,0.486
 2013-8-2,0.193,0.471
 2013-8-3,0.196,0.462
 2013-8-4,0.182,0.450
 2013-8-5,0.172,0.431
 2013-8-6,0.162,0.415
 2013-8-7,0.151,0.404
 2013-8-8,0.179,0.393
 2013-8-9,0.163,0.393
 2013-8-10,0.168,0.404
 2013-8-11,0.211,0.457
 2013-8-12,0.210,0.487
 2013-8-13,0.212,0.475
 2013-8-14,0.218,0.457
 2013-8-15,0.230,0.444
 2013-8-16,0.285,0.447
 2013-8-17,0.311,0.609
 2013-8-18,0.515,0.695
 2013-8-19,0.532,0.754
 2013-8-20,0.553,0.761
 2013-8-21,0.570,0.749
 2013-8-22,0.600,0.723
 2013-8-23,0.630,0.691
 2013-8-24,0.673,0.656
 2013-8-25,0.656,0.624
 2013-8-26,0.646,0.591
 2013-8-27,0.572,0.563
 2013-8-28,0.497,0.537
 2013-8-29,0.432,0.511
 2013-8-30,0.379,0.496
 2013-8-31,0.333,0.490
 2013-9-1,0.295,0.476
 2013-9-2,0.263,0.455
 2013-9-3,0.237,0.444
 2013-9-4,0.216,0.433
 2013-9-5,0.199,0.422
 2013-9-6,0.185,0.410
 2013-9-7,0.174,0.400
 2013-9-8,0.164,0.386
 2013-9-9,0.145,0.371
 2013-9-10,0.207,0.367
 2013-9-11,0.183,0.365
 2013-9-12,0.165,0.357
 2013-9-13,0.151,0.349
 2013-9-14,0.142,0.342
 2013-9-15,0.149,0.335
 2013-9-16,0.171,0.335
 2013-9-17,0.243,0.331
 2013-9-18,0.296,0.327
 2013-9-19,0.303,0.324
 2013-9-20,0.312,0.321
 2013-9-21,0.331,0.317
 2013-9-22,0.379,0.318
 2013-9-23,0.413,0.321
 2013-9-24,0.435,0.318
 2013-9-25,0.450,0.316
 2013-9-26,0.431,0.313
 2013-9-27,0.407,0.307
 2013-9-28,0.378,0.302
 2013-9-29,0.352,0.298
 2013-9-30,0.334,0.292
 2013-10-1,0.302,0.285
 2013-10-2,0.274,0.281
 2013-10-3,0.251,0.277
 2013-10-4,0.249,0.273
 2013-10-5,0.239,0.287
 2013-10-6,0.226,0.292
 2013-10-7,0.222,0.295
 2013-10-8,0.268,0.302
 2013-10-9,0.337,0.317
 2013-10-10,0.417,0.335
 2013-10-11,0.453,0.353
 2013-10-12,0.498,0.370
 2013-10-13,0.527,0.383
 2013-10-14,0.545,0.395
 2013-10-15,0.557,0.404
 2013-10-16,0.568,0.413
 2013-10-17,0.563,0.421
 2013-10-18,0.515,0.424
 2013-10-19,0.466,0.425
 2013-10-20,0.458,0.425
 2013-10-21,0.485,0.431
 2013-10-22,0.618,0.467
 2013-10-23,0.817,0.575
 2013-10-24,0.901,0.804
 2013-10-25,1.183,1.019
 2013-10-26,1.464,1.286
 2013-10-27,1.753,1.606
 2013-10-28,2.246,2.090
 2013-10-29,2.668,2.796
 2013-10-30,3.056,3.406
 2013-10-31,3.289,3.766
