 Date, Qmod[mm/d], Qobs[mm/d]
 2009-1-1,0.000,0.411
 2009-1-2,0.000,0.411
 2009-1-3,0.001,0.411
 2009-1-4,0.012,0.432
 2009-1-5,0.013,0.503
 2009-1-6,0.014,0.440
 2009-1-7,0.013,0.442
 2009-1-8,0.012,0.425
 2009-1-9,0.011,0.411
 2009-1-10,0.010,0.411
 2009-1-11,0.009,0.382
 2009-1-12,0.009,0.357
 2009-1-13,0.029,0.299
 2009-1-14,0.033,0.392
 2009-1-15,0.029,0.442
 2009-1-16,0.025,0.426
 2009-1-17,0.028,0.411
 2009-1-18,0.035,0.428
 2009-1-19,0.049,0.558
 2009-1-20,0.047,0.653
 2009-1-21,0.045,0.658
 2009-1-22,0.041,0.637
 2009-1-23,0.078,0.750
 2009-1-24,0.136,1.158
 2009-1-25,0.134,1.132
 2009-1-26,0.117,0.980
 2009-1-27,0.104,0.855
 2009-1-28,0.094,0.803
 2009-1-29,0.086,0.737
 2009-1-30,0.081,0.704
 2009-1-31,0.076,0.671
 2009-2-1,0.072,0.639
 2009-2-2,0.064,0.596
 2009-2-3,0.057,0.596
 2009-2-4,0.051,0.596
 2009-2-5,0.045,0.596
 2009-2-6,0.040,0.596
 2009-2-7,0.037,0.596
 2009-2-8,0.034,0.617
 2009-2-9,0.051,0.648
 2009-2-10,0.084,0.750
 2009-2-11,0.126,1.013
 2009-2-12,0.132,1.066
 2009-2-13,0.136,1.040
 2009-2-14,0.133,1.027
 2009-2-15,0.158,0.994
 2009-2-16,0.195,1.027
 2009-2-17,0.220,1.448
 2009-2-18,0.247,1.388
 2009-2-19,0.263,1.204
 2009-2-20,0.233,1.184
 2009-2-21,0.226,1.178
 2009-2-22,0.225,1.165
 2009-2-23,0.223,1.184
 2009-2-24,0.206,1.171
 2009-2-25,0.195,1.092
 2009-2-26,0.220,1.046
 2009-2-27,0.282,1.257
 2009-2-28,0.334,1.415
 2009-3-1,0.326,1.467
 2009-3-2,0.307,1.316
 2009-3-3,0.276,1.204
 2009-3-4,0.249,1.138
 2009-3-5,0.231,1.033
 2009-3-6,0.257,0.974
 2009-3-7,0.281,1.053
 2009-3-8,0.341,1.066
 2009-3-9,0.314,1.092
 2009-3-10,0.339,1.125
 2009-3-11,0.345,1.309
 2009-3-12,0.400,1.257
 2009-3-13,0.369,1.007
 2009-3-14,0.353,0.823
 2009-3-15,0.340,0.763
 2009-3-16,0.322,0.829
 2009-3-17,0.315,0.836
 2009-3-18,0.285,0.770
 2009-3-19,0.258,0.737
 2009-3-20,0.233,0.730
 2009-3-21,0.209,0.750
 2009-3-22,0.188,0.724
 2009-3-23,0.205,0.750
 2009-3-24,0.233,0.994
 2009-3-25,0.301,0.948
 2009-3-26,0.336,1.092
 2009-3-27,0.400,1.277
 2009-3-28,0.435,1.316
 2009-3-29,0.425,1.270
 2009-3-30,0.423,1.132
 2009-3-31,0.383,0.941
 2009-4-1,0.348,0.790
 2009-4-2,0.316,0.730
 2009-4-3,0.288,0.691
 2009-4-4,0.261,0.598
 2009-4-5,0.234,0.573
 2009-4-6,0.210,0.544
 2009-4-7,0.200,0.534
 2009-4-8,0.196,0.548
 2009-4-9,0.203,0.596
 2009-4-10,0.184,0.576
 2009-4-11,0.165,0.546
 2009-4-12,0.148,0.511
 2009-4-13,0.133,0.482
 2009-4-14,0.120,0.470
 2009-4-15,0.109,0.388
 2009-4-16,0.098,0.357
 2009-4-17,0.087,0.339
 2009-4-18,0.078,0.331
 2009-4-19,0.069,0.331
 2009-4-20,0.062,0.305
 2009-4-21,0.055,0.295
 2009-4-22,0.049,0.295
 2009-4-23,0.044,0.295
 2009-4-24,0.039,0.295
 2009-4-25,0.035,0.295
 2009-4-26,0.040,0.295
 2009-4-27,0.072,0.295
 2009-4-28,0.095,0.336
 2009-4-29,0.120,0.349
 2009-4-30,0.115,0.334
 2009-5-1,0.108,0.331
 2009-5-2,0.105,0.331
 2009-5-3,0.096,0.317
 2009-5-4,0.089,0.300
 2009-5-5,0.120,0.295
 2009-5-6,0.135,0.307
 2009-5-7,0.146,0.313
 2009-5-8,0.144,0.313
 2009-5-9,0.130,0.311
 2009-5-10,0.117,0.291
 2009-5-11,0.106,0.265
 2009-5-12,0.096,0.260
 2009-5-13,0.088,0.259
 2009-5-14,0.081,0.242
 2009-5-15,0.137,0.243
 2009-5-16,0.165,0.345
 2009-5-17,0.211,0.331
 2009-5-18,0.193,0.304
 2009-5-19,0.178,0.295
 2009-5-20,0.165,0.289
 2009-5-21,0.156,0.278
 2009-5-22,0.148,0.268
 2009-5-23,0.142,0.260
 2009-5-24,0.139,0.260
 2009-5-25,0.127,0.247
 2009-5-26,0.116,0.242
 2009-5-27,0.107,0.242
 2009-5-28,0.101,0.231
 2009-5-29,0.093,0.224
 2009-5-30,0.084,0.215
 2009-5-31,0.075,0.207
 2009-6-1,0.067,0.197
 2009-6-2,0.060,0.189
 2009-6-3,0.054,0.179
 2009-6-4,0.048,0.171
 2009-6-5,0.043,0.171
 2009-6-6,0.066,0.171
 2009-6-7,0.101,0.175
 2009-6-8,0.116,0.296
 2009-6-9,0.192,0.264
 2009-6-10,0.232,0.290
 2009-6-11,0.302,0.341
 2009-6-12,0.327,0.336
 2009-6-13,0.319,0.326
 2009-6-14,0.295,0.307
 2009-6-15,0.273,0.282
 2009-6-16,0.255,0.278
 2009-6-17,0.238,0.271
 2009-6-18,0.222,0.250
 2009-6-19,0.208,0.242
 2009-6-20,0.199,0.242
 2009-6-21,0.193,0.242
 2009-6-22,0.189,0.229
 2009-6-23,0.175,0.224
 2009-6-24,0.157,0.213
 2009-6-25,0.141,0.207
 2009-6-26,0.127,0.213
 2009-6-27,0.114,0.215
 2009-6-28,0.103,0.207
 2009-6-29,0.093,0.191
 2009-6-30,0.083,0.189
 2009-7-1,0.074,0.189
 2009-7-2,0.066,0.189
