 Date, Qmod[mm/d], Qobs[mm/d]
 2008-1-1,0.000,1.728
 2008-1-2,0.000,1.653
 2008-1-3,0.000,1.544
 2008-1-4,0.000,1.595
 2008-1-5,0.000,1.595
 2008-1-6,0.002,1.496
 2008-1-7,0.039,1.619
 2008-1-8,0.034,2.005
 2008-1-9,0.248,1.602
 2008-1-10,0.200,1.670
 2008-1-11,0.168,1.626
 2008-1-12,0.147,1.489
 2008-1-13,0.136,1.417
 2008-1-14,0.131,1.438
 2008-1-15,0.127,1.445
 2008-1-16,0.131,1.414
 2008-1-17,0.135,1.390
 2008-1-18,0.192,1.725
 2008-1-19,0.335,4.883
 2008-1-20,0.287,4.713
 2008-1-21,0.300,3.552
 2008-1-22,0.366,4.610
 2008-1-23,0.338,4.098
 2008-1-24,0.461,2.947
 2008-1-25,0.408,2.633
 2008-1-26,0.375,2.442
 2008-1-27,0.376,2.401
 2008-1-28,0.358,2.534
 2008-1-29,0.348,2.647
 2008-1-30,0.504,2.472
 2008-1-31,0.440,2.254
 2008-2-1,0.420,2.155
 2008-2-2,0.376,2.093
 2008-2-3,0.340,1.950
 2008-2-4,0.325,1.909
 2008-2-5,0.309,1.923
 2008-2-6,0.360,3.415
 2008-2-7,0.351,5.532
 2008-2-8,0.342,2.971
 2008-2-9,0.277,2.507
 2008-2-10,0.241,2.322
 2008-2-11,0.218,2.196
 2008-2-12,0.201,2.100
 2008-2-13,0.188,2.015
 2008-2-14,0.174,1.936
 2008-2-15,0.161,1.844
 2008-2-16,0.150,1.735
 2008-2-17,0.140,1.626
 2008-2-18,0.132,1.649
 2008-2-19,0.125,1.636
 2008-2-20,0.139,1.632
 2008-2-21,0.130,1.677
 2008-2-22,0.122,2.059
 2008-2-23,0.116,2.462
 2008-2-24,0.112,2.322
 2008-2-25,0.108,2.196
 2008-2-26,0.353,2.186
 2008-2-27,0.300,3.111
 2008-2-28,0.326,2.841
 2008-2-29,0.706,3.135
 2008-3-1,1.840,13.728
 2008-3-2,2.447,10.655
 2008-3-3,2.649,13.319
 2008-3-4,2.336,11.509
 2008-3-5,2.005,7.035
 2008-3-6,1.692,5.498
 2008-3-7,1.570,4.781
 2008-3-8,1.511,4.303
 2008-3-9,1.427,3.927
 2008-3-10,1.293,3.620
 2008-3-11,1.388,3.377
 2008-3-12,1.522,6.762
 2008-3-13,1.866,5.840
 2008-3-14,2.052,7.650
 2008-3-15,1.878,8.367
 2008-3-16,2.244,5.976
 2008-3-17,1.960,7.035
 2008-3-18,1.817,6.113
 2008-3-19,1.812,5.123
 2008-3-20,1.749,4.781
 2008-3-21,1.937,4.713
 2008-3-22,1.879,4.542
 2008-3-23,1.808,4.132
 2008-3-24,1.513,3.859
 2008-3-25,1.778,3.586
 2008-3-26,1.679,3.364
 2008-3-27,1.529,3.278
 2008-3-28,1.406,3.517
 2008-3-29,1.284,4.235
 2008-3-30,1.192,4.644
 2008-3-31,1.127,4.781
 2008-4-1,1.086,4.781
 2008-4-2,1.053,4.918
 2008-4-3,1.288,5.327
 2008-4-4,1.194,4.644
 2008-4-5,1.076,4.166
 2008-4-6,1.059,3.927
 2008-4-7,1.072,3.996
 2008-4-8,1.017,3.722
 2008-4-9,0.969,3.620
 2008-4-10,0.930,3.586
 2008-4-11,0.915,3.825
 2008-4-12,0.863,4.098
 2008-4-13,0.824,3.415
 2008-4-14,0.801,3.196
 2008-4-15,0.808,3.377
 2008-4-16,0.810,3.067
 2008-4-17,0.768,2.923
 2008-4-18,0.731,2.746
 2008-4-19,0.723,2.831
 2008-4-20,0.694,2.961
 2008-4-21,0.749,3.620
 2008-4-22,1.225,8.845
 2008-4-23,1.166,5.191
 2008-4-24,1.061,3.927
 2008-4-25,1.142,3.757
 2008-4-26,1.061,3.688
 2008-4-27,1.015,3.374
 2008-4-28,1.059,3.323
 2008-4-29,1.105,4.337
 2008-4-30,1.327,4.508
 2008-5-1,1.231,4.166
 2008-5-2,1.170,3.586
 2008-5-3,1.070,3.278
 2008-5-4,0.997,3.046
 2008-5-5,0.983,3.179
 2008-5-6,0.985,3.046
 2008-5-7,0.940,2.886
 2008-5-8,0.883,2.609
 2008-5-9,0.830,2.452
 2008-5-10,0.786,2.312
 2008-5-11,0.752,2.189
 2008-5-12,0.726,2.073
 2008-5-13,0.703,1.960
 2008-5-14,0.680,1.878
 2008-5-15,0.657,1.837
 2008-5-16,0.632,1.803
 2008-5-17,0.650,1.759
 2008-5-18,0.833,2.667
 2008-5-19,0.807,2.725
 2008-5-20,1.209,2.216
 2008-5-21,1.076,2.373
 2008-5-22,1.000,2.005
 2008-5-23,0.925,1.817
 2008-5-24,0.885,1.701
 2008-5-25,0.865,1.626
 2008-5-26,0.842,1.540
 2008-5-27,0.826,1.482
 2008-5-28,0.784,1.383
 2008-5-29,0.735,1.328
 2008-5-30,0.694,1.264
 2008-5-31,0.659,1.206
 2008-6-1,0.630,1.175
 2008-6-2,0.605,1.151
 2008-6-3,0.632,1.175
 2008-6-4,0.808,1.557
 2008-6-5,0.825,1.895
 2008-6-6,0.816,1.325
 2008-6-7,1.221,1.253
 2008-6-8,1.187,1.383
 2008-6-9,1.081,1.161
 2008-6-10,1.013,1.062
 2008-6-11,1.001,1.052
 2008-6-12,1.101,1.079
 2008-6-13,1.050,1.113
 2008-6-14,1.006,1.052
 2008-6-15,0.946,0.966
 2008-6-16,0.944,0.956
 2008-6-17,0.877,0.966
 2008-6-18,0.869,0.939
 2008-6-19,0.817,0.902
 2008-6-20,0.763,0.826
 2008-6-21,0.715,0.803
 2008-6-22,0.682,0.779
 2008-6-23,0.651,0.768
 2008-6-24,0.641,0.782
 2008-6-25,0.694,0.820
 2008-6-26,0.689,0.755
 2008-6-27,0.647,0.734
 2008-6-28,0.615,0.707
 2008-6-29,0.632,0.700
 2008-6-30,0.627,0.686
 2008-7-1,0.603,0.673
 2008-7-2,0.585,0.645
 2008-7-3,0.655,0.673
 2008-7-4,0.646,0.710
 2008-7-5,0.644,0.666
 2008-7-6,0.952,0.639
 2008-7-7,0.976,0.734
 2008-7-8,1.224,0.826
 2008-7-9,1.144,0.717
 2008-7-10,1.022,0.690
 2008-7-11,0.967,0.656
 2008-7-12,1.037,0.703
 2008-7-13,1.272,0.703
 2008-7-14,1.202,0.690
 2008-7-15,1.104,0.666
 2008-7-16,1.094,0.625
 2008-7-17,1.152,0.779
 2008-7-18,1.250,0.775
 2008-7-19,1.213,0.686
 2008-7-20,1.145,0.656
 2008-7-21,1.063,0.816
 2008-7-22,1.211,0.673
