 Date, Qmod[mm/d], Qobs[mm/d]
 2013-1-1,0.000,********
 2013-1-2,0.000,********
 2013-1-3,0.001,********
 2013-1-4,0.016,********
 2013-1-5,0.130,********
 2013-1-6,0.207,********
 2013-1-7,0.281,********
 2013-1-8,0.328,********
 2013-1-9,0.396,********
 2013-1-10,0.416,********
 2013-1-11,0.400,********
 2013-1-12,0.351,********
 2013-1-13,0.292,********
 2013-1-14,0.238,********
 2013-1-15,0.193,********
 2013-1-16,0.200,********
 2013-1-17,0.208,********
 2013-1-18,0.202,********
 2013-1-19,0.185,********
 2013-1-20,0.181,********
 2013-1-21,0.275,********
 2013-1-22,0.271,********
 2013-1-23,0.288,********
 2013-1-24,0.240,********
 2013-1-25,0.202,********
 2013-1-26,0.163,********
 2013-1-27,0.139,********
 2013-1-28,0.122,********
 2013-1-29,0.148,********
 2013-1-30,0.344,********
 2013-1-31,0.582,********
 2013-2-1,0.757,********
 2013-2-2,0.938,********
 2013-2-3,0.929,********
 2013-2-4,1.006,********
 2013-2-5,0.995,********
 2013-2-6,1.028,********
 2013-2-7,0.977,********
 2013-2-8,0.901,********
 2013-2-9,0.838,********
 2013-2-10,0.723,********
 2013-2-11,0.637,********
 2013-2-12,0.528,********
 2013-2-13,0.438,********
 2013-2-14,0.362,********
 2013-2-15,0.300,********
 2013-2-16,0.253,********
 2013-2-17,0.212,********
 2013-2-18,0.178,********
 2013-2-19,0.161,********
 2013-2-20,0.198,********
 2013-2-21,0.189,********
 2013-2-22,0.222,********
 2013-2-23,0.220,********
 2013-2-24,0.302,********
 2013-2-25,0.370,********
 2013-2-26,0.389,********
 2013-2-27,0.373,********
 2013-2-28,0.318,********
 2013-3-1,0.266,********
 2013-3-2,0.220,********
 2013-3-3,0.182,********
 2013-3-4,0.152,********
 2013-3-5,0.127,********
 2013-3-6,0.105,********
 2013-3-7,0.088,********
 2013-3-8,0.074,********
 2013-3-9,0.062,********
 2013-3-10,0.053,********
 2013-3-11,0.045,********
 2013-3-12,0.043,********
 2013-3-13,0.039,********
 2013-3-14,0.036,********
 2013-3-15,0.034,********
 2013-3-16,0.031,********
 2013-3-17,0.027,********
 2013-3-18,0.053,********
 2013-3-19,0.106,********
 2013-3-20,0.147,********
 2013-3-21,0.176,********
 2013-3-22,0.164,********
 2013-3-23,0.147,********
 2013-3-24,0.123,********
 2013-3-25,0.102,********
 2013-3-26,0.086,********
 2013-3-27,0.073,********
 2013-3-28,0.062,********
 2013-3-29,0.052,********
 2013-3-30,0.044,********
 2013-3-31,0.038,********
 2013-4-1,0.032,********
 2013-4-2,0.027,********
 2013-4-3,0.023,********
 2013-4-4,0.020,********
 2013-4-5,0.018,********
 2013-4-6,0.015,********
 2013-4-7,0.013,********
 2013-4-8,0.012,********
 2013-4-9,0.027,********
 2013-4-10,0.090,********
 2013-4-11,0.155,********
 2013-4-12,0.427,********
 2013-4-13,0.470,********
 2013-4-14,0.542,********
 2013-4-15,0.459,********
 2013-4-16,0.389,********
 2013-4-17,0.318,********
