 Date, Qmod[mm/d], Qobs[mm/d]
 2009-1-1,0.000,0.495
 2009-1-2,0.000,0.490
 2009-1-3,0.000,0.484
 2009-1-4,0.000,0.466
 2009-1-5,0.000,0.464
 2009-1-6,0.000,0.467
 2009-1-7,0.000,0.446
 2009-1-8,0.000,0.449
 2009-1-9,0.000,0.432
 2009-1-10,0.000,0.409
 2009-1-11,0.000,0.409
 2009-1-12,0.001,0.434
 2009-1-13,0.004,0.638
 2009-1-14,0.005,0.794
 2009-1-15,0.006,0.609
 2009-1-16,0.007,0.603
 2009-1-17,0.018,0.603
 2009-1-18,0.048,4.349
 2009-1-19,0.100,6.321
 2009-1-20,0.148,4.308
 2009-1-21,0.191,1.919
 2009-1-22,0.243,2.383
 2009-1-23,0.314,6.437
 2009-1-24,0.372,3.914
 2009-1-25,0.435,1.977
 2009-1-26,0.461,1.670
 2009-1-27,0.446,1.270
 2009-1-28,0.414,1.090
 2009-1-29,0.365,0.992
 2009-1-30,0.322,0.881
 2009-1-31,0.285,0.835
 2009-2-1,0.252,0.771
 2009-2-2,0.228,0.754
 2009-2-3,0.206,0.702
 2009-2-4,0.198,0.684
 2009-2-5,0.203,0.748
 2009-2-6,0.202,0.794
 2009-2-7,0.208,0.794
 2009-2-8,0.207,0.794
 2009-2-9,0.262,1.566
 2009-2-10,0.379,4.662
 2009-2-11,0.462,1.832
 2009-2-12,0.582,1.293
 2009-2-13,0.585,1.200
 2009-2-14,0.548,1.137
 2009-2-15,0.499,0.968
 2009-2-16,0.456,0.910
 2009-2-17,0.408,0.847
 2009-2-18,0.364,0.800
 2009-2-19,0.326,0.760
 2009-2-20,0.288,0.736
 2009-2-21,0.254,0.707
 2009-2-22,0.225,0.696
 2009-2-23,0.199,0.696
 2009-2-24,0.177,0.678
 2009-2-25,0.158,0.661
 2009-2-26,0.140,0.649
 2009-2-27,0.125,0.644
 2009-2-28,0.112,0.644
 2009-3-1,0.100,0.626
 2009-3-2,0.089,0.591
 2009-3-3,0.097,0.591
 2009-3-4,0.141,0.997
 2009-3-5,0.192,0.951
 2009-3-6,0.255,0.783
 2009-3-7,0.274,0.713
 2009-3-8,0.261,0.742
 2009-3-9,0.258,0.794
 2009-3-10,0.273,0.928
 2009-3-11,0.301,0.945
 2009-3-12,0.300,0.806
 2009-3-13,0.299,0.765
 2009-3-14,0.267,0.731
 2009-3-15,0.238,0.684
 2009-3-16,0.213,0.661
 2009-3-17,0.191,0.644
 2009-3-18,0.171,0.626
 2009-3-19,0.152,0.615
 2009-3-20,0.135,0.603
 2009-3-21,0.120,0.591
 2009-3-22,0.108,0.597
 2009-3-23,0.096,0.591
 2009-3-24,0.086,0.575
 2009-3-25,0.082,0.580
 2009-3-26,0.077,0.586
 2009-3-27,0.087,0.597
 2009-3-28,0.106,0.626
 2009-3-29,0.129,0.597
 2009-3-30,0.151,0.567
 2009-3-31,0.136,0.556
 2009-4-1,0.122,0.560
 2009-4-2,0.109,0.560
 2009-4-3,0.098,0.560
 2009-4-4,0.088,0.540
 2009-4-5,0.078,0.546
 2009-4-6,0.078,0.553
 2009-4-7,0.078,0.557
 2009-4-8,0.089,0.551
 2009-4-9,0.109,0.562
 2009-4-10,0.135,0.562
 2009-4-11,0.161,0.620
 2009-4-12,0.159,0.667
 2009-4-13,0.162,0.609
 2009-4-14,0.159,0.591
 2009-4-15,0.155,0.806
 2009-4-16,0.155,0.684
 2009-4-17,0.161,0.644
 2009-4-18,0.171,0.586
 2009-4-19,0.174,0.742
 2009-4-20,0.185,0.678
 2009-4-21,0.200,0.620
 2009-4-22,0.179,0.615
 2009-4-23,0.161,0.557
 2009-4-24,0.144,0.546
 2009-4-25,0.129,0.538
 2009-4-26,0.115,0.534
 2009-4-27,0.127,0.571
 2009-4-28,0.181,0.789
 2009-4-29,0.256,0.818
 2009-4-30,0.329,0.690
 2009-5-1,0.363,0.615
 2009-5-2,0.333,0.567
 2009-5-3,0.298,0.538
 2009-5-4,0.268,0.524
 2009-5-5,0.240,0.499
 2009-5-6,0.216,0.489
 2009-5-7,0.194,0.484
 2009-5-8,0.171,0.459
 2009-5-9,0.150,0.452
 2009-5-10,0.132,0.442
 2009-5-11,0.140,0.439
 2009-5-12,0.193,0.615
 2009-5-13,0.236,0.644
 2009-5-14,0.302,1.270
 2009-5-15,0.314,0.945
 2009-5-16,0.311,0.713
 2009-5-17,0.306,0.586
