 Date, Qmod[mm/d], Qobs[mm/d]
 2013-1-1,0.007,********
 2013-1-2,0.005,********
 2013-1-3,0.016,********
 2013-1-4,0.086,********
 2013-1-5,0.039,********
 2013-1-6,0.024,********
 2013-1-7,0.020,********
 2013-1-8,0.022,********
 2013-1-9,0.025,********
 2013-1-10,0.151,********
 2013-1-11,0.641,********
 2013-1-12,0.269,********
 2013-1-13,0.142,********
 2013-1-14,0.107,********
 2013-1-15,0.721,********
 2013-1-16,0.767,********
 2013-1-17,0.670,********
 2013-1-18,0.383,********
 2013-1-19,0.624,********
 2013-1-20,1.461,********
 2013-1-21,1.247,********
 2013-1-22,0.875,********
 2013-1-23,0.606,********
 2013-1-24,0.511,********
 2013-1-25,0.518,********
 2013-1-26,0.511,********
 2013-1-27,0.396,********
 2013-1-28,0.376,********
 2013-1-29,0.580,********
 2013-1-30,2.914,********
 2013-1-31,3.984,********
 2013-2-1,4.432,********
 2013-2-2,9.811,********
 2013-2-3,6.025,********
 2013-2-4,5.448,********
 2013-2-5,6.034,********
 2013-2-6,6.946,********
 2013-2-7,6.727,********
 2013-2-8,6.455,********
 2013-2-9,4.671,********
 2013-2-10,3.960,********
 2013-2-11,3.205,********
 2013-2-12,2.636,********
 2013-2-13,2.109,********
 2013-2-14,1.998,********
 2013-2-15,1.884,********
 2013-2-16,1.202,********
 2013-2-17,0.833,********
 2013-2-18,0.648,********
 2013-2-19,0.564,********
 2013-2-20,0.528,********
 2013-2-21,0.449,********
 2013-2-22,0.311,********
 2013-2-23,0.228,********
 2013-2-24,0.178,********
 2013-2-25,0.146,********
 2013-2-26,0.313,********
 2013-2-27,0.184,********
 2013-2-28,0.134,********
 2013-3-1,0.113,********
 2013-3-2,0.105,********
 2013-3-3,0.101,********
 2013-3-4,0.101,********
 2013-3-5,0.071,********
 2013-3-6,0.053,********
 2013-3-7,0.043,********
 2013-3-8,0.037,********
 2013-3-9,0.032,********
 2013-3-10,0.106,********
 2013-3-11,0.075,********
 2013-3-12,0.430,********
 2013-3-13,0.359,********
 2013-3-14,0.221,********
 2013-3-15,0.158,********
 2013-3-16,0.150,********
 2013-3-17,0.383,********
 2013-3-18,1.191,********
 2013-3-19,1.287,********
 2013-3-20,0.920,********
 2013-3-21,0.564,********
 2013-3-22,0.486,********
 2013-3-23,0.513,********
 2013-3-24,0.886,********
 2013-3-25,0.731,********
