 Date, Qmod[mm/d], Qobs[mm/d]
 2010-1-1,0.001,1.461
 2010-1-2,0.008,1.542
 2010-1-3,0.014,1.469
 2010-1-4,0.023,1.483
 2010-1-5,0.072,1.471
 2010-1-6,0.079,1.437
 2010-1-7,0.084,1.464
 2010-1-8,0.141,1.456
 2010-1-9,0.156,1.441
 2010-1-10,0.165,1.446
 2010-1-11,0.173,1.776
 2010-1-12,0.183,1.623
 2010-1-13,0.192,3.034
 2010-1-14,0.213,3.668
 2010-1-15,0.233,5.062
 2010-1-16,0.409,19.318
 2010-1-17,0.501,7.022
 2010-1-18,0.493,4.986
 2010-1-19,0.485,4.294
 2010-1-20,0.491,5.633
 2010-1-21,0.502,4.782
 2010-1-22,0.568,7.521
 2010-1-23,0.628,7.479
 2010-1-24,0.740,7.774
 2010-1-25,0.754,4.859
 2010-1-26,0.713,5.092
 2010-1-27,0.693,15.626
 2010-1-28,0.682,7.682
 2010-1-29,0.745,5.480
 2010-1-30,0.758,3.876
 2010-1-31,0.767,3.262
 2010-2-1,0.777,2.847
 2010-2-2,0.780,2.723
 2010-2-3,0.744,2.437
 2010-2-4,0.724,2.262
 2010-2-5,0.721,6.767
 2010-2-6,0.752,7.842
 2010-2-7,0.743,4.917
 2010-2-8,0.714,3.646
 2010-2-9,0.690,3.272
 2010-2-10,0.646,3.071
 2010-2-11,0.617,2.893
 2010-2-12,0.577,2.973
 2010-2-13,0.543,2.599
 2010-2-14,0.509,2.824
 2010-2-15,0.501,3.316
 2010-2-16,0.522,3.561
 2010-2-17,0.531,3.609
 2010-2-18,0.529,2.450
 2010-2-19,0.532,2.132
 2010-2-20,0.535,1.895
 2010-2-21,0.481,1.678
 2010-2-22,0.436,1.550
 2010-2-23,0.398,1.477
 2010-2-24,0.506,1.474
 2010-2-25,0.746,1.703
 2010-2-26,1.066,2.727
 2010-2-27,1.158,2.090
 2010-2-28,1.263,1.845
 2010-3-1,1.317,1.703
 2010-3-2,1.239,1.558
 2010-3-3,1.191,1.268
 2010-3-4,1.159,1.224
 2010-3-5,1.114,3.872
 2010-3-6,1.051,6.269
 2010-3-7,0.948,4.707
 2010-3-8,0.821,3.824
 2010-3-9,0.712,2.863
 2010-3-10,0.618,2.383
