 Date, Qmod[mm/d], Qobs[mm/d]
 2009-1-1,0.000,0.786
 2009-1-2,0.000,0.753
 2009-1-3,0.000,0.726
 2009-1-4,0.000,0.687
 2009-1-5,0.000,0.669
 2009-1-6,0.000,0.699
 2009-1-7,0.000,0.654
 2009-1-8,0.000,0.657
 2009-1-9,0.000,0.801
 2009-1-10,0.000,0.621
 2009-1-11,0.000,0.603
 2009-1-12,0.000,0.573
 2009-1-13,0.002,0.588
 2009-1-14,0.028,0.801
 2009-1-15,0.019,0.975
 2009-1-16,0.017,0.807
 2009-1-17,0.010,0.735
 2009-1-18,0.031,1.197
 2009-1-19,0.127,1.947
 2009-1-20,0.174,1.818
 2009-1-21,0.184,1.566
 2009-1-22,0.204,1.734
 2009-1-23,0.359,5.220
 2009-1-24,0.476,6.660
 2009-1-25,0.535,5.550
 2009-1-26,0.513,3.750
 2009-1-27,0.453,2.958
 2009-1-28,0.411,2.532
 2009-1-29,0.374,2.256
 2009-1-30,0.339,1.977
 2009-1-31,0.307,1.815
 2009-2-1,0.274,1.743
 2009-2-2,0.251,1.821
 2009-2-3,0.223,1.848
 2009-2-4,0.199,1.590
 2009-2-5,0.178,1.458
 2009-2-6,0.173,1.335
 2009-2-7,0.153,1.317
 2009-2-8,0.138,1.218
 2009-2-9,0.128,1.221
 2009-2-10,0.146,1.512
 2009-2-11,0.130,1.266
 2009-2-12,0.121,1.149
 2009-2-13,0.110,1.155
 2009-2-14,0.103,1.335
 2009-2-15,0.100,1.110
 2009-2-16,0.091,1.020
 2009-2-17,0.085,1.008
 2009-2-18,0.079,1.008
 2009-2-19,0.073,1.026
 2009-2-20,0.065,0.990
 2009-2-21,0.059,0.975
 2009-2-22,0.053,0.927
 2009-2-23,0.047,0.957
 2009-2-24,0.042,0.933
 2009-2-25,0.038,0.879
 2009-2-26,0.034,0.834
 2009-2-27,0.030,0.825
 2009-2-28,0.027,0.810
 2009-3-1,0.025,0.795
 2009-3-2,0.022,0.786
 2009-3-3,0.020,0.759
 2009-3-4,0.033,0.864
 2009-3-5,0.084,1.017
 2009-3-6,0.075,0.906
 2009-3-7,0.076,0.813
 2009-3-8,0.070,0.828
 2009-3-9,0.070,0.927
 2009-3-10,0.075,0.852
 2009-3-11,0.068,0.879
 2009-3-12,0.064,0.807
 2009-3-13,0.060,0.756
 2009-3-14,0.058,0.729
 2009-3-15,0.052,0.747
 2009-3-16,0.048,0.702
 2009-3-17,0.043,0.642
 2009-3-18,0.038,0.612
 2009-3-19,0.034,0.579
 2009-3-20,0.031,0.534
 2009-3-21,0.028,0.507
 2009-3-22,0.025,0.504
 2009-3-23,0.022,0.513
 2009-3-24,0.020,0.495
 2009-3-25,0.018,0.495
 2009-3-26,0.016,0.510
 2009-3-27,0.024,0.537
 2009-3-28,0.021,0.756
 2009-3-29,0.021,0.714
 2009-3-30,0.021,0.597
 2009-3-31,0.023,0.576
 2009-4-1,0.025,0.537
 2009-4-2,0.027,0.522
 2009-4-3,0.025,0.504
 2009-4-4,0.022,0.498
 2009-4-5,0.020,0.495
