 Date, Qmod[mm/d], Qobs[mm/d]
 2002-1-1,0.000,1.503
 2002-1-2,0.000,2.070
 2002-1-3,0.000,2.214
 2002-1-4,0.000,2.088
 2002-1-5,0.000,1.647
 2002-1-6,0.000,1.415
 2002-1-7,0.000,1.460
 2002-1-8,0.000,1.418
 2002-1-9,0.000,1.309
 2002-1-10,0.000,1.255
 2002-1-11,0.001,1.181
 2002-1-12,0.001,1.156
 2002-1-13,0.001,1.219
 2002-1-14,0.001,1.255
 2002-1-15,0.001,1.253
 2002-1-16,0.001,1.238
 2002-1-17,0.003,1.249
 2002-1-18,0.004,1.424
 2002-1-19,0.007,1.697
 2002-1-20,0.020,1.800
 2002-1-21,0.038,2.196
 2002-1-22,0.039,2.268
 2002-1-23,0.047,2.340
 2002-1-24,0.084,2.376
 2002-1-25,0.188,2.592
 2002-1-26,0.341,2.934
 2002-1-27,0.433,4.248
 2002-1-28,0.394,4.104
 2002-1-29,0.484,4.554
 2002-1-30,0.503,3.924
 2002-1-31,0.659,4.032
 2002-2-1,0.656,3.996
 2002-2-2,0.708,3.672
 2002-2-3,0.742,3.294
 2002-2-4,0.872,2.952
 2002-2-5,1.094,3.006
 2002-2-6,1.198,3.456
 2002-2-7,1.117,3.312
 2002-2-8,1.223,3.168
 2002-2-9,1.321,3.330
 2002-2-10,1.271,3.366
 2002-2-11,1.499,3.510
 2002-2-12,1.640,4.212
 2002-2-13,1.463,3.636
 2002-2-14,1.441,3.186
 2002-2-15,1.465,2.880
 2002-2-16,1.518,2.610
 2002-2-17,1.573,2.340
 2002-2-18,1.644,2.070
 2002-2-19,1.950,2.232
 2002-2-20,2.137,2.736
 2002-2-21,1.862,3.240
 2002-2-22,1.964,3.366
 2002-2-23,2.011,5.094
 2002-2-24,1.740,4.356
 2002-2-25,1.894,3.816
 2002-2-26,2.614,4.680
 2002-2-27,3.137,6.282
 2002-2-28,2.783,5.022
 2002-3-1,2.707,5.418
 2002-3-2,2.652,4.518
 2002-3-3,2.779,4.014
 2002-3-4,2.752,3.762
 2002-3-5,2.767,3.402
 2002-3-6,3.006,3.186
 2002-3-7,3.285,3.366
 2002-3-8,2.976,3.168
 2002-3-9,2.744,3.006
 2002-3-10,2.588,2.970
 2002-3-11,2.376,2.862
 2002-3-12,2.264,2.754
 2002-3-13,2.074,2.592
 2002-3-14,1.965,2.322
 2002-3-15,1.897,2.088
 2002-3-16,1.775,1.818
 2002-3-17,1.648,1.708
 2002-3-18,1.613,1.688
 2002-3-19,1.605,1.980
 2002-3-20,1.425,2.124
 2002-3-21,1.264,1.944
 2002-3-22,1.162,1.714
 2002-3-23,1.091,1.595
 2002-3-24,1.038,1.494
 2002-3-25,1.001,1.429
 2002-3-26,0.976,1.305
 2002-3-27,0.952,1.343
 2002-3-28,0.869,1.253
 2002-3-29,0.782,1.231
 2002-3-30,0.704,1.199
 2002-3-31,0.633,1.177
 2002-4-1,0.570,1.145
 2002-4-2,0.512,1.102
 2002-4-3,0.461,1.060
 2002-4-4,0.415,1.022
 2002-4-5,0.373,1.024
 2002-4-6,0.335,0.976
 2002-4-7,0.302,0.943
 2002-4-8,0.272,0.938
 2002-4-9,0.245,0.920
 2002-4-10,0.221,0.916
 2002-4-11,0.199,0.920
 2002-4-12,0.180,0.920
 2002-4-13,0.163,0.895
 2002-4-14,0.149,0.860
 2002-4-15,0.137,0.878
 2002-4-16,0.128,0.905
 2002-4-17,0.121,0.913
 2002-4-18,0.116,0.914
 2002-4-19,0.114,0.878
 2002-4-20,0.116,0.878
 2002-4-21,0.119,0.859
 2002-4-22,0.125,0.819
 2002-4-23,0.128,0.806
 2002-4-24,0.129,0.796
 2002-4-25,0.133,0.765
 2002-4-26,0.189,0.810
 2002-4-27,0.260,0.956
 2002-4-28,0.280,0.977
 2002-4-29,0.404,1.129
 2002-4-30,0.414,1.222
 2002-5-1,0.405,1.228
 2002-5-2,0.414,1.130
 2002-5-3,0.450,1.044
 2002-5-4,0.527,0.999
 2002-5-5,0.623,0.986
 2002-5-6,0.665,0.952
 2002-5-7,0.716,0.934
 2002-5-8,0.723,0.961
 2002-5-9,0.701,0.916
 2002-5-10,0.665,0.855
 2002-5-11,0.651,0.880
 2002-5-12,0.654,1.224
 2002-5-13,0.589,0.986
 2002-5-14,0.547,0.886
 2002-5-15,0.519,0.801
 2002-5-16,0.502,0.760
 2002-5-17,0.486,0.740
 2002-5-18,0.506,0.718
 2002-5-19,0.541,0.796
 2002-5-20,0.520,0.772
 2002-5-21,0.476,0.731
 2002-5-22,0.468,0.718
 2002-5-23,0.490,0.833
 2002-5-24,0.482,0.877
 2002-5-25,0.463,0.785
 2002-5-26,0.472,0.738
 2002-5-27,0.496,0.749
 2002-5-28,0.482,0.706
 2002-5-29,0.477,0.688
 2002-5-30,0.478,0.659
 2002-5-31,0.496,0.652
 2002-6-1,0.487,0.670
 2002-6-2,0.444,0.648
 2002-6-3,0.412,0.628
 2002-6-4,0.387,0.616
 2002-6-5,0.362,0.598
 2002-6-6,0.341,0.572
 2002-6-7,0.325,0.560
 2002-6-8,0.313,0.495
 2002-6-9,0.304,0.538
 2002-6-10,0.277,0.562
 2002-6-11,0.255,0.605
 2002-6-12,0.230,0.599
 2002-6-13,0.214,0.603
 2002-6-14,0.205,0.607
 2002-6-15,0.196,0.556
 2002-6-16,0.186,0.607
 2002-6-17,0.182,0.590
 2002-6-18,0.190,0.569
 2002-6-19,0.201,0.617
 2002-6-20,0.204,0.572
 2002-6-21,0.216,0.540
 2002-6-22,0.223,0.592
 2002-6-23,0.218,0.596
 2002-6-24,0.216,0.585
 2002-6-25,0.219,0.533
 2002-6-26,0.228,0.486
 2002-6-27,0.249,0.443
 2002-6-28,0.277,0.531
 2002-6-29,0.310,0.587
 2002-6-30,0.397,0.594
 2002-7-1,0.543,0.824
 2002-7-2,0.477,0.902
 2002-7-3,0.487,0.819
 2002-7-4,0.594,0.922
 2002-7-5,0.641,0.907
 2002-7-6,0.657,0.853
 2002-7-7,0.702,0.797
 2002-7-8,0.770,0.770
 2002-7-9,0.847,0.704
 2002-7-10,1.056,0.707
 2002-7-11,1.305,1.138
 2002-7-12,1.058,1.139
 2002-7-13,0.979,1.030
 2002-7-14,0.945,0.880
 2002-7-15,0.930,0.776
 2002-7-16,0.935,0.659
 2002-7-17,1.032,0.621
 2002-7-18,2.009,1.453
 2002-7-19,3.018,5.220
 2002-7-20,1.903,5.364
 2002-7-21,1.494,3.852
 2002-7-22,1.442,3.150
 2002-7-23,1.612,2.880
