 Date, Qmod[mm/d], Qobs[mm/d]
 2011-1-1,0.000,0.785
 2011-1-2,0.000,0.570
 2011-1-3,0.000,0.463
 2011-1-4,0.000,0.422
 2011-1-5,0.000,0.392
 2011-1-6,0.041,0.398
 2011-1-7,0.165,0.517
 2011-1-8,0.138,1.734
 2011-1-9,0.120,1.734
 2011-1-10,0.208,0.827
 2011-1-11,0.283,1.386
 2011-1-12,0.353,2.048
 2011-1-13,0.377,2.451
 2011-1-14,0.415,3.169
 2011-1-15,0.433,3.244
 2011-1-16,0.447,1.943
 2011-1-17,0.658,1.614
 2011-1-18,0.621,2.571
 2011-1-19,0.611,3.348
 2011-1-20,0.665,2.556
 2011-1-21,0.727,1.286
 2011-1-22,0.601,0.895
 2011-1-23,0.205,0.773
 2011-1-24,0.118,0.679
 2011-1-25,0.100,0.659
 2011-1-26,0.096,0.697
 2011-1-27,0.092,0.655
 2011-1-28,0.091,0.528
 2011-1-29,0.092,0.483
 2011-1-30,0.087,0.433
 2011-1-31,0.083,0.404
 2011-2-1,0.079,0.378
 2011-2-2,0.078,0.359
 2011-2-3,0.078,0.338
 2011-2-4,0.078,0.333
 2011-2-5,0.077,0.324
 2011-2-6,0.077,0.315
 2011-2-7,0.076,0.302
 2011-2-8,0.076,0.291
 2011-2-9,0.075,0.280
 2011-2-10,0.136,0.317
 2011-2-11,0.180,0.360
 2011-2-12,0.183,0.438
 2011-2-13,0.189,0.598
 2011-2-14,0.200,0.561
 2011-2-15,0.189,0.460
 2011-2-16,0.157,0.460
 2011-2-17,0.102,0.410
 2011-2-18,0.090,0.339
 2011-2-19,0.151,0.351
 2011-2-20,0.155,0.375
 2011-2-21,0.167,0.390
 2011-2-22,0.187,0.390
 2011-2-23,0.261,0.426
 2011-2-24,0.262,0.928
 2011-2-25,0.270,0.813
 2011-2-26,0.323,1.085
 2011-2-27,0.336,1.928
 2011-2-28,0.326,1.211
 2011-3-1,0.277,0.744
 2011-3-2,0.256,0.632
 2011-3-3,0.188,0.535
 2011-3-4,0.123,0.469
 2011-3-5,0.107,0.431
 2011-3-6,0.101,0.393
 2011-3-7,0.098,0.365
 2011-3-8,0.096,0.333
 2011-3-9,0.093,0.339
 2011-3-10,0.092,0.333
 2011-3-11,0.090,0.317
 2011-3-12,0.088,0.308
 2011-3-13,0.086,0.320
 2011-3-14,0.085,0.318
 2011-3-15,0.083,0.296
 2011-3-16,0.081,0.290
 2011-3-17,0.079,0.283
 2011-3-18,0.076,0.281
 2011-3-19,0.073,0.271
 2011-3-20,0.071,0.266
 2011-3-21,0.068,0.272
 2011-3-22,0.066,0.271
 2011-3-23,0.063,0.257
 2011-3-24,0.060,0.257
 2011-3-25,0.057,0.256
 2011-3-26,0.054,0.260
 2011-3-27,0.050,0.260
 2011-3-28,0.047,0.251
 2011-3-29,0.044,0.250
 2011-3-30,0.057,0.251
 2011-3-31,0.051,0.254
 2011-4-1,0.045,0.253
 2011-4-2,0.041,0.244
 2011-4-3,0.037,0.235
 2011-4-4,0.030,0.229
 2011-4-5,0.025,0.235
 2011-4-6,0.021,0.229
 2011-4-7,0.018,0.215
 2011-4-8,0.015,0.167
 2011-4-9,0.013,0.169
 2011-4-10,0.010,0.167
 2011-4-11,0.009,0.166
 2011-4-12,0.007,0.161
 2011-4-13,0.005,0.148
 2011-4-14,0.003,0.151
 2011-4-15,0.002,0.152
 2011-4-16,0.001,0.160
 2011-4-17,0.001,0.152
 2011-4-18,0.001,0.142
 2011-4-19,0.001,0.161
 2011-4-20,0.001,0.140
 2011-4-21,0.001,0.144
 2011-4-22,0.001,0.138
 2011-4-23,0.001,0.135
 2011-4-24,0.000,0.131
 2011-4-25,0.000,0.125
 2011-4-26,0.000,0.119
 2011-4-27,0.000,0.116
 2011-4-28,0.000,0.184
 2011-4-29,0.000,0.236
 2011-4-30,0.000,0.236
 2011-5-1,0.000,0.232
 2011-5-2,0.000,0.233
 2011-5-3,0.000,0.233
 2011-5-4,0.000,0.266
 2011-5-5,0.000,0.263
 2011-5-6,0.000,0.256
 2011-5-7,0.000,0.265
 2011-5-8,0.000,0.266
 2011-5-9,0.000,0.259
 2011-5-10,0.000,0.253
 2011-5-11,0.000,0.254
 2011-5-12,0.000,0.257
 2011-5-13,0.000,0.256
 2011-5-14,0.000,0.245
 2011-5-15,0.000,0.202
 2011-5-16,0.000,0.205
 2011-5-17,0.000,0.205
 2011-5-18,0.000,0.164
 2011-5-19,0.000,0.164
 2011-5-20,0.000,0.160
 2011-5-21,0.000,0.151
 2011-5-22,0.000,0.146
 2011-5-23,0.000,0.144
 2011-5-24,0.000,0.132
 2011-5-25,0.000,0.128
 2011-5-26,0.016,0.139
 2011-5-27,0.012,0.129
 2011-5-28,0.009,0.125
 2011-5-29,0.007,0.117
 2011-5-30,0.038,0.115
 2011-5-31,0.029,0.123
 2011-6-1,0.023,0.127
 2011-6-2,0.019,0.149
 2011-6-3,0.016,0.134
 2011-6-4,0.010,0.136
 2011-6-5,0.072,0.138
 2011-6-6,0.060,0.166
 2011-6-7,0.048,0.139
 2011-6-8,0.040,0.161
 2011-6-9,0.034,0.152
 2011-6-10,0.056,0.115
 2011-6-11,0.041,0.125
 2011-6-12,0.114,0.138
 2011-6-13,0.095,0.134
 2011-6-14,0.083,0.126
 2011-6-15,0.070,0.123
 2011-6-16,0.091,0.123
 2011-6-17,0.205,0.254
 2011-6-18,0.187,0.302
 2011-6-19,0.171,0.233
 2011-6-20,0.168,0.193
 2011-6-21,0.166,0.190
 2011-6-22,0.156,0.205
 2011-6-23,0.104,0.215
 2011-6-24,0.151,0.220
 2011-6-25,0.133,0.287
 2011-6-26,0.127,0.291
 2011-6-27,0.113,0.286
 2011-6-28,0.182,0.300
 2011-6-29,0.139,0.347
 2011-6-30,0.102,0.390
 2011-7-1,0.093,0.324
 2011-7-2,0.092,0.303
 2011-7-3,0.059,0.302
 2011-7-4,0.029,0.293
