 Date, Qmod[mm/d], Qobs[mm/d]
 2009-1-1,0.000,0.562
 2009-1-2,0.000,0.562
 2009-1-3,0.005,0.558
 2009-1-4,0.010,0.663
 2009-1-5,0.010,1.194
 2009-1-6,0.011,1.068
 2009-1-7,0.013,0.878
 2009-1-8,0.015,0.731
 2009-1-9,0.015,0.644
 2009-1-10,0.016,0.611
 2009-1-11,0.017,0.594
 2009-1-12,0.017,0.567
 2009-1-13,0.019,0.565
 2009-1-14,0.019,0.671
 2009-1-15,0.018,0.890
 2009-1-16,0.018,0.888
 2009-1-17,0.020,0.850
 2009-1-18,0.022,0.854
 2009-1-19,0.026,0.986
 2009-1-20,0.028,1.113
 2009-1-21,0.031,1.049
 2009-1-22,0.034,0.932
 2009-1-23,0.044,0.968
 2009-1-24,0.048,1.448
 2009-1-25,0.054,1.710
 2009-1-26,0.063,1.420
 2009-1-27,0.071,1.176
 2009-1-28,0.071,1.022
 2009-1-29,0.072,0.932
 2009-1-30,0.074,0.852
 2009-1-31,0.076,0.801
 2009-2-1,0.070,0.773
 2009-2-2,0.062,0.738
 2009-2-3,0.056,0.723
 2009-2-4,0.050,0.729
 2009-2-5,0.045,0.739
 2009-2-6,0.040,0.778
 2009-2-7,0.038,0.811
 2009-2-8,0.035,0.839
 2009-2-9,0.036,0.831
 2009-2-10,0.041,0.855
 2009-2-11,0.044,1.113
 2009-2-12,0.050,1.140
 2009-2-13,0.061,1.022
 2009-2-14,0.071,0.986
 2009-2-15,0.083,0.905
 2009-2-16,0.096,0.950
 2009-2-17,0.110,1.411
 2009-2-18,0.119,1.411
 2009-2-19,0.125,1.167
 2009-2-20,0.130,1.095
 2009-2-21,0.139,1.258
 2009-2-22,0.145,1.511
 2009-2-23,0.153,1.692
 2009-2-24,0.160,1.592
 2009-2-25,0.162,1.357
 2009-2-26,0.175,1.239
 2009-2-27,0.187,1.764
 2009-2-28,0.204,1.990
 2009-3-1,0.226,2.045
 2009-3-2,0.244,1.864
 2009-3-3,0.249,1.638
 2009-3-4,0.258,1.402
 2009-3-5,0.266,1.230
 2009-3-6,0.281,1.131
 2009-3-7,0.267,1.294
 2009-3-8,0.256,1.294
 2009-3-9,0.244,1.366
 2009-3-10,0.243,1.556
 2009-3-11,0.245,1.828
 2009-3-12,0.264,1.773
 2009-3-13,0.286,1.918
 2009-3-14,0.313,1.764
 2009-3-15,0.330,1.601
 2009-3-16,0.354,1.556
 2009-3-17,0.368,1.366
 2009-3-18,0.371,1.203
 2009-3-19,0.357,1.077
 2009-3-20,0.346,0.977
 2009-3-21,0.319,0.899
 2009-3-22,0.297,0.861
 2009-3-23,0.299,0.950
 2009-3-24,0.293,1.809
 2009-3-25,0.311,1.999
 2009-3-26,0.348,2.198
 2009-3-27,0.400,2.461
 2009-3-28,0.450,2.533
 2009-3-29,0.513,2.479
 2009-3-30,0.583,2.262
 2009-3-31,0.651,1.837
 2009-4-1,0.647,1.547
 2009-4-2,0.642,1.312
 2009-4-3,0.618,1.167
 2009-4-4,0.574,1.068
 2009-4-5,0.532,0.977
 2009-4-6,0.477,0.905
 2009-4-7,0.429,0.874
 2009-4-8,0.386,0.848
 2009-4-9,0.348,0.816
 2009-4-10,0.316,0.773
 2009-4-11,0.288,0.736
 2009-4-12,0.263,0.689
 2009-4-13,0.243,0.651
 2009-4-14,0.226,0.635
 2009-4-15,0.211,0.614
 2009-4-16,0.189,0.593
 2009-4-17,0.169,0.565
 2009-4-18,0.151,0.535
 2009-4-19,0.135,0.515
 2009-4-20,0.121,0.498
 2009-4-21,0.108,0.498
 2009-4-22,0.098,0.482
 2009-4-23,0.089,0.494
 2009-4-24,0.080,0.491
 2009-4-25,0.073,0.476
 2009-4-26,0.067,0.467
 2009-4-27,0.067,0.446
 2009-4-28,0.067,0.501
 2009-4-29,0.069,0.559
 2009-4-30,0.072,0.593
 2009-5-1,0.074,0.561
 2009-5-2,0.077,0.505
 2009-5-3,0.082,0.483
 2009-5-4,0.088,0.479
 2009-5-5,0.102,0.475
 2009-5-6,0.106,0.545
 2009-5-7,0.104,0.591
 2009-5-8,0.103,0.558
 2009-5-9,0.102,0.533
 2009-5-10,0.103,0.487
 2009-5-11,0.105,0.456
 2009-5-12,0.109,0.438
 2009-5-13,0.114,0.423
 2009-5-14,0.108,0.408
 2009-5-15,0.109,0.389
 2009-5-16,0.105,0.472
 2009-5-17,0.100,0.517
 2009-5-18,0.096,0.486
 2009-5-19,0.095,0.450
 2009-5-20,0.093,0.434
 2009-5-21,0.093,0.420
 2009-5-22,0.096,0.404
 2009-5-23,0.099,0.423
 2009-5-24,0.092,0.425
 2009-5-25,0.085,0.393
 2009-5-26,0.079,0.372
 2009-5-27,0.074,0.359
 2009-5-28,0.069,0.346
 2009-5-29,0.065,0.339
 2009-5-30,0.062,0.333
 2009-5-31,0.056,0.328
 2009-6-1,0.051,0.320
 2009-6-2,0.046,0.302
 2009-6-3,0.042,0.264
 2009-6-4,0.040,0.246
 2009-6-5,0.035,0.252
 2009-6-6,0.036,0.259
 2009-6-7,0.042,0.269
 2009-6-8,0.042,0.357
 2009-6-9,0.049,0.376
 2009-6-10,0.059,0.430
 2009-6-11,0.072,0.463
 2009-6-12,0.083,0.460
 2009-6-13,0.096,0.447
 2009-6-14,0.111,0.400
 2009-6-15,0.123,0.402
 2009-6-16,0.126,0.389
 2009-6-17,0.131,0.365
 2009-6-18,0.132,0.332
 2009-6-19,0.132,0.318
 2009-6-20,0.125,0.322
 2009-6-21,0.117,0.347
 2009-6-22,0.109,0.356
 2009-6-23,0.103,0.341
 2009-6-24,0.098,0.312
 2009-6-25,0.095,0.285
