 Date, Qmod[mm/d], Qobs[mm/d]
 2007-1-1,0.194,2.680
 2007-1-2,0.972,6.259
 2007-1-3,0.980,3.646
 2007-1-4,0.896,2.909
 2007-1-5,0.910,3.722
 2007-1-6,1.099,2.285
 2007-1-7,1.154,2.095
 2007-1-8,1.255,2.203
 2007-1-9,1.366,2.341
 2007-1-10,1.193,2.011
 2007-1-11,1.085,1.690
 2007-1-12,1.006,1.658
 2007-1-13,0.906,1.518
 2007-1-14,0.812,1.352
 2007-1-15,0.737,1.240
 2007-1-16,0.652,1.162
 2007-1-17,0.593,1.101
 2007-1-18,0.590,1.149
 2007-1-19,0.642,1.941
 2007-1-20,0.586,1.583
 2007-1-21,0.743,1.687
 2007-1-22,0.667,1.738
 2007-1-23,0.778,1.535
 2007-1-24,1.010,1.389
 2007-1-25,0.902,1.187
 2007-1-26,0.841,1.089
 2007-1-27,0.819,1.010
 2007-1-28,0.801,0.972
 2007-1-29,0.769,0.942
 2007-1-30,0.713,0.909
 2007-1-31,0.623,0.865
 2007-2-1,0.535,0.844
 2007-2-2,0.463,0.831
 2007-2-3,0.405,0.819
 2007-2-4,0.355,0.887
 2007-2-5,0.315,0.838
 2007-2-6,0.292,1.103
 2007-2-7,0.277,1.612
 2007-2-8,0.308,1.845
 2007-2-9,0.362,2.913
 2007-2-10,0.538,2.097
 2007-2-11,0.515,2.638
 2007-2-12,0.847,5.313
 2007-2-13,1.132,7.448
 2007-2-14,1.559,4.171
 2007-2-15,1.547,4.458
 2007-2-16,1.430,3.088
 2007-2-17,1.329,2.409
 2007-2-18,1.256,2.023
 2007-2-19,1.181,1.772
 2007-2-20,1.131,1.585
 2007-2-21,0.997,1.410
 2007-2-22,0.849,1.293
 2007-2-23,0.730,1.203
 2007-2-24,0.821,1.455
 2007-2-25,1.183,5.907
 2007-2-26,1.845,8.130
 2007-2-27,2.065,6.295
 2007-2-28,2.013,5.209
 2007-3-1,2.998,5.274
 2007-3-2,4.744,12.923
 2007-3-3,5.226,8.956
 2007-3-4,4.855,6.253
 2007-3-5,4.576,5.140
 2007-3-6,4.323,4.523
 2007-3-7,4.182,4.827
 2007-3-8,3.910,3.557
 2007-3-9,3.580,2.854
 2007-3-10,3.144,2.847
 2007-3-11,2.744,2.498
 2007-3-12,2.407,2.200
 2007-3-13,2.114,1.977
 2007-3-14,1.866,1.745
 2007-3-15,1.660,1.648
 2007-3-16,1.463,1.548
 2007-3-17,1.286,1.440
 2007-3-18,1.233,1.421
 2007-3-19,1.434,2.921
 2007-3-20,1.297,2.275
 2007-3-21,1.152,1.935
 2007-3-22,1.074,1.887
 2007-3-23,1.083,1.882
 2007-3-24,1.018,1.823
