 Date, Qmod[mm/d], Qobs[mm/d]
 2009-1-1,0.000,1.705
 2009-1-2,0.000,1.435
 2009-1-3,0.000,1.324
 2009-1-4,0.000,1.240
 2009-1-5,0.000,1.157
 2009-1-6,0.000,1.082
 2009-1-7,0.000,1.036
 2009-1-8,0.000,0.989
 2009-1-9,0.000,0.943
 2009-1-10,0.000,0.897
 2009-1-11,0.000,0.850
 2009-1-12,0.000,0.808
 2009-1-13,0.000,0.766
 2009-1-14,0.000,0.729
 2009-1-15,0.000,0.692
 2009-1-16,0.000,0.650
 2009-1-17,0.000,0.613
 2009-1-18,0.000,0.613
 2009-1-19,0.005,0.646
 2009-1-20,0.014,1.277
 2009-1-21,0.013,1.027
 2009-1-22,0.027,0.929
 2009-1-23,0.089,1.942
 2009-1-24,0.293,2.415
 2009-1-25,0.417,2.727
 2009-1-26,0.422,2.481
 2009-1-27,0.386,2.137
 2009-1-28,0.349,1.821
 2009-1-29,0.315,1.556
 2009-1-30,0.284,1.394
 2009-1-31,0.257,1.310
 2009-2-1,0.232,1.250
 2009-2-2,0.236,1.324
 2009-2-3,0.303,2.917
 2009-2-4,0.463,3.428
 2009-2-5,0.481,2.638
 2009-2-6,0.502,3.958
 2009-2-7,0.680,9.012
 2009-2-8,0.678,5.342
 2009-2-9,0.619,3.883
 2009-2-10,0.572,3.484
 2009-2-11,0.532,3.103
 2009-2-12,0.505,2.778
 2009-2-13,0.489,2.476
 2009-2-14,0.447,2.211
 2009-2-15,0.411,1.960
 2009-2-16,0.372,1.798
 2009-2-17,0.330,1.686
 2009-2-18,0.294,1.538
 2009-2-19,0.261,1.389
 2009-2-20,0.232,1.305
 2009-2-21,0.207,1.263
 2009-2-22,0.184,1.185
 2009-2-23,0.164,1.133
 2009-2-24,0.146,1.082
 2009-2-25,0.130,1.008
 2009-2-26,0.116,0.962
 2009-2-27,0.103,0.934
 2009-2-28,0.092,0.920
 2009-3-1,0.083,0.887
 2009-3-2,0.079,0.878
 2009-3-3,0.075,0.841
 2009-3-4,0.159,1.008
 2009-3-5,0.189,1.454
 2009-3-6,0.205,1.324
 2009-3-7,0.187,1.133
 2009-3-8,0.173,1.096
 2009-3-9,0.161,1.059
 2009-3-10,0.162,1.031
 2009-3-11,0.172,0.989
 2009-3-12,0.160,0.929
 2009-3-13,0.151,0.920
 2009-3-14,0.138,0.887
 2009-3-15,0.123,0.841
 2009-3-16,0.109,0.836
 2009-3-17,0.097,0.850
 2009-3-18,0.086,0.818
 2009-3-19,0.077,0.780
 2009-3-20,0.068,0.790
 2009-3-21,0.061,0.743
 2009-3-22,0.054,0.734
 2009-3-23,0.048,0.697
 2009-3-24,0.044,0.692
 2009-3-25,0.042,0.646
 2009-3-26,0.037,0.627
 2009-3-27,0.033,0.585
 2009-3-28,0.086,0.622
 2009-3-29,0.144,0.725
 2009-3-30,0.173,0.627
 2009-3-31,0.157,0.571
 2009-4-1,0.152,0.567
 2009-4-2,0.205,0.576
 2009-4-3,0.199,0.562
 2009-4-4,0.182,0.553
 2009-4-5,0.168,0.539
 2009-4-6,0.156,0.534
 2009-4-7,0.143,0.534
 2009-4-8,0.129,0.530
 2009-4-9,0.117,0.520
 2009-4-10,0.107,0.534
 2009-4-11,0.105,0.516
 2009-4-12,0.116,0.525
 2009-4-13,0.119,0.502
 2009-4-14,0.107,0.497
 2009-4-15,0.102,0.497
 2009-4-16,0.122,2.276
 2009-4-17,0.245,3.122
 2009-4-18,0.308,1.956
 2009-4-19,0.308,1.584
 2009-4-20,0.309,1.510
 2009-4-21,0.291,1.528
 2009-4-22,0.265,1.579
 2009-4-23,0.244,1.291
 2009-4-24,0.225,1.175
 2009-4-25,0.208,1.050
 2009-4-26,0.238,1.324
 2009-4-27,0.478,2.369
 2009-4-28,0.718,1.747
 2009-4-29,0.705,1.417
 2009-4-30,0.643,1.282
 2009-5-1,0.591,1.175
 2009-5-2,0.539,1.068
 2009-5-3,0.492,0.980
 2009-5-4,0.458,0.897
 2009-5-5,0.425,0.831
 2009-5-6,0.387,0.790
 2009-5-7,0.344,0.743
 2009-5-8,0.306,0.697
 2009-5-9,0.272,0.664
 2009-5-10,0.242,0.618
 2009-5-11,0.216,0.604
 2009-5-12,0.192,0.571
 2009-5-13,0.171,0.534
 2009-5-14,0.161,0.571
 2009-5-15,0.200,0.985
 2009-5-16,0.222,0.836
 2009-5-17,0.203,0.692
 2009-5-18,0.186,0.604
 2009-5-19,0.172,0.548
 2009-5-20,0.159,0.511
 2009-5-21,0.145,0.492
 2009-5-22,0.135,0.478
 2009-5-23,0.127,0.458
 2009-5-24,0.117,0.425
 2009-5-25,0.104,0.413
 2009-5-26,0.093,0.409
 2009-5-27,0.082,0.391
 2009-5-28,0.073,0.387
 2009-5-29,0.065,0.379
 2009-5-30,0.058,0.363
 2009-5-31,0.057,0.387
 2009-6-1,0.062,0.394
 2009-6-2,0.055,0.358
 2009-6-3,0.049,0.335
 2009-6-4,0.044,0.324
 2009-6-5,0.042,0.327
 2009-6-6,0.096,0.474
 2009-6-7,0.115,0.403
 2009-6-8,0.149,0.356
 2009-6-9,0.218,0.678
 2009-6-10,0.300,0.434
 2009-6-11,0.299,0.379
 2009-6-12,0.271,0.346
 2009-6-13,0.247,0.317
 2009-6-14,0.226,0.291
 2009-6-15,0.212,0.275
 2009-6-16,0.205,0.262
 2009-6-17,0.187,0.243
 2009-6-18,0.170,0.217
 2009-6-19,0.154,0.208
 2009-6-20,0.139,0.202
 2009-6-21,0.124,0.193
 2009-6-22,0.111,0.183
 2009-6-23,0.099,0.176
 2009-6-24,0.088,0.168
 2009-6-25,0.079,0.155
 2009-6-26,0.070,0.156
 2009-6-27,0.063,0.149
 2009-6-28,0.056,0.140
 2009-6-29,0.050,0.124
