 Date, Qmod[mm/d], Qobs[mm/d]
 2011-1-1,0.000,1.426
 2011-1-2,0.000,1.286
 2011-1-3,0.000,1.113
 2011-1-4,0.000,0.981
 2011-1-5,0.000,0.944
 2011-1-6,0.000,0.917
 2011-1-7,0.000,0.976
 2011-1-8,0.000,0.966
 2011-1-9,0.000,0.928
 2011-1-10,0.000,0.908
 2011-1-11,0.031,0.993
 2011-1-12,0.028,1.045
 2011-1-13,0.025,0.955
 2011-1-14,0.023,0.912
 2011-1-15,0.020,0.893
 2011-1-16,0.018,0.825
 2011-1-17,0.016,0.765
 2011-1-18,0.015,0.744
 2011-1-19,0.080,0.706
 2011-1-20,0.109,0.751
 2011-1-21,0.101,0.706
 2011-1-22,0.091,0.688
 2011-1-23,0.083,0.649
 2011-1-24,0.075,0.600
 2011-1-25,0.068,0.589
 2011-1-26,0.062,0.611
 2011-1-27,0.057,0.608
 2011-1-28,0.053,0.626
 2011-1-29,0.213,0.599
 2011-1-30,0.301,0.887
 2011-1-31,0.553,1.021
 2011-2-1,0.534,0.887
 2011-2-2,0.499,0.865
 2011-2-3,0.472,0.819
 2011-2-4,0.453,0.775
 2011-2-5,0.438,0.712
 2011-2-6,0.429,0.723
 2011-2-7,0.426,0.781
 2011-2-8,0.416,0.817
 2011-2-9,0.404,0.760
 2011-2-10,0.363,0.735
 2011-2-11,0.326,0.724
 2011-2-12,0.293,0.741
 2011-2-13,0.263,0.850
 2011-2-14,0.236,0.981
 2011-2-15,0.237,0.890
 2011-2-16,0.260,2.235
 2011-2-17,0.434,7.301
 2011-2-18,0.408,5.877
 2011-2-19,0.373,3.249
 2011-2-20,0.462,2.151
 2011-2-21,0.437,2.678
 2011-2-22,0.409,1.976
 2011-2-23,0.386,1.484
 2011-2-24,0.368,1.182
 2011-2-25,0.355,1.035
 2011-2-26,0.343,0.943
 2011-2-27,0.421,0.883
 2011-2-28,0.498,0.931
 2011-3-1,0.895,0.895
 2011-3-2,1.227,0.908
 2011-3-3,1.412,0.894
 2011-3-4,1.339,0.948
 2011-3-5,1.313,1.019
 2011-3-6,1.258,1.034
 2011-3-7,1.212,0.975
 2011-3-8,1.180,0.852
 2011-3-9,1.163,0.790
 2011-3-10,1.149,0.762
 2011-3-11,1.100,0.739
 2011-3-12,1.019,0.759
 2011-3-13,0.988,1.221
 2011-3-14,1.035,9.320
 2011-3-15,1.116,7.261
 2011-3-16,1.368,18.278
 2011-3-17,1.280,11.243
 2011-3-18,1.181,7.196
 2011-3-19,1.101,4.663
 2011-3-20,1.034,3.414
 2011-3-21,0.975,2.488
 2011-3-22,0.926,1.959
 2011-3-23,0.880,1.540
 2011-3-24,0.842,1.287
 2011-3-25,0.793,1.212
 2011-3-26,0.711,1.120
 2011-3-27,0.875,1.039
 2011-3-28,0.873,2.073
 2011-3-29,0.814,2.559
 2011-3-30,0.743,1.756
 2011-3-31,0.684,1.367
 2011-4-1,0.634,1.137
 2011-4-2,0.591,1.010
 2011-4-3,0.550,0.955
 2011-4-4,0.517,0.887
 2011-4-5,0.491,0.838
 2011-4-6,0.470,0.786
 2011-4-7,0.421,0.727
 2011-4-8,0.378,0.695
 2011-4-9,0.339,0.671
 2011-4-10,0.304,0.617
 2011-4-11,0.273,0.586
 2011-4-12,0.450,0.563
 2011-4-13,0.404,0.587
 2011-4-14,0.566,0.549
 2011-4-15,0.508,0.542
 2011-4-16,0.457,0.524
 2011-4-17,0.411,0.485
 2011-4-18,0.369,0.455
 2011-4-19,0.332,0.441
 2011-4-20,0.298,0.426
 2011-4-21,0.268,0.409
 2011-4-22,0.241,0.399
 2011-4-23,0.217,0.378
 2011-4-24,0.195,0.388
 2011-4-25,0.175,0.358
 2011-4-26,0.157,0.341
 2011-4-27,0.141,0.337
 2011-4-28,0.127,0.331
 2011-4-29,0.147,0.330
 2011-4-30,0.155,0.325
 2011-5-1,0.142,0.313
 2011-5-2,0.127,0.302
 2011-5-3,0.157,0.295
 2011-5-4,0.141,0.295
 2011-5-5,0.127,0.291
 2011-5-6,0.114,0.273
 2011-5-7,0.103,0.259
 2011-5-8,0.092,0.245
 2011-5-9,0.083,0.236
 2011-5-10,0.075,0.230
 2011-5-11,0.067,0.227
 2011-5-12,0.060,0.220
 2011-5-13,0.054,0.214
 2011-5-14,0.049,0.221
