 Date, Qmod[mm/d], Qobs[mm/d]
 2009-1-1,0.000,0.775
 2009-1-2,0.000,0.759
 2009-1-3,0.000,0.744
 2009-1-4,0.000,0.728
 2009-1-5,0.001,0.717
 2009-1-6,0.000,0.707
 2009-1-7,0.000,0.696
 2009-1-8,0.000,0.675
 2009-1-9,0.000,0.660
 2009-1-10,0.000,0.655
 2009-1-11,0.000,0.649
 2009-1-12,0.000,0.639
 2009-1-13,0.002,0.644
 2009-1-14,0.002,0.660
 2009-1-15,0.002,0.649
 2009-1-16,0.002,0.639
 2009-1-17,0.002,0.623
 2009-1-18,0.003,0.623
 2009-1-19,0.008,0.649
 2009-1-20,0.018,0.728
 2009-1-21,0.033,0.885
 2009-1-22,0.089,1.084
 2009-1-23,0.187,1.545
 2009-1-24,0.320,2.393
 2009-1-25,0.493,3.974
 2009-1-26,0.697,4.927
 2009-1-27,0.909,5.142
 2009-1-28,1.040,5.095
 2009-1-29,1.053,4.859
 2009-1-30,1.048,4.524
 2009-1-31,1.003,4.116
 2009-2-1,0.910,3.754
 2009-2-2,0.822,3.451
 2009-2-3,0.735,3.163
 2009-2-4,0.658,2.906
 2009-2-5,0.588,2.655
 2009-2-6,0.550,2.430
 2009-2-7,0.526,2.288
 2009-2-8,0.514,2.199
 2009-2-9,0.521,2.142
 2009-2-10,0.559,2.105
 2009-2-11,0.633,2.115
 2009-2-12,0.665,2.184
 2009-2-13,0.712,2.403
 2009-2-14,0.772,2.749
 2009-2-15,0.827,2.791
 2009-2-16,0.815,2.576
 2009-2-17,0.728,2.294
 2009-2-18,0.663,2.126
 2009-2-19,0.617,1.990
 2009-2-20,0.575,1.875
 2009-2-21,0.527,1.775
 2009-2-22,0.490,1.691
 2009-2-23,0.459,1.618
 2009-2-24,0.435,1.555
 2009-2-25,0.414,1.503
 2009-2-26,0.397,1.450
 2009-2-27,0.382,1.403
 2009-2-28,0.370,1.356
 2009-3-1,0.359,1.325
 2009-3-2,0.350,1.288
 2009-3-3,0.342,1.251
 2009-3-4,0.349,1.236
 2009-3-5,0.366,1.309
 2009-3-6,0.392,1.445
 2009-3-7,0.427,1.534
 2009-3-8,0.469,1.555
 2009-3-9,0.517,1.503
 2009-3-10,0.520,1.424
 2009-3-11,0.499,1.351
 2009-3-12,0.479,1.288
 2009-3-13,0.465,1.236
 2009-3-14,0.446,1.194
 2009-3-15,0.426,1.152
 2009-3-16,0.408,1.115
 2009-3-17,0.394,1.084
 2009-3-18,0.381,1.053
 2009-3-19,0.370,1.032
 2009-3-20,0.361,1.011
 2009-3-21,0.353,0.984
 2009-3-22,0.346,0.958
 2009-3-23,0.340,0.932
 2009-3-24,0.335,0.916
 2009-3-25,0.330,0.901
 2009-3-26,0.325,0.885
 2009-3-27,0.321,0.874
 2009-3-28,0.319,0.880
 2009-3-29,0.317,0.890
 2009-3-30,0.315,0.869
 2009-3-31,0.313,0.843
 2009-4-1,0.312,0.827
 2009-4-2,0.311,0.827
 2009-4-3,0.306,0.833
 2009-4-4,0.301,0.833
 2009-4-5,0.297,0.838
 2009-4-6,0.299,0.838
 2009-4-7,0.300,0.843
 2009-4-8,0.302,0.843
 2009-4-9,0.306,0.848
 2009-4-10,0.330,0.869
 2009-4-11,0.362,0.932
 2009-4-12,0.385,1.005
 2009-4-13,0.416,1.100
 2009-4-14,0.462,1.157
 2009-4-15,0.513,1.215
 2009-4-16,0.506,1.241
 2009-4-17,0.490,1.246
 2009-4-18,0.485,1.246
 2009-4-19,0.488,1.210
 2009-4-20,0.462,1.162
 2009-4-21,0.436,1.094
 2009-4-22,0.417,1.021
 2009-4-23,0.403,0.969
 2009-4-24,0.387,0.922
 2009-4-25,0.379,0.895
 2009-4-26,0.377,0.890
 2009-4-27,0.384,0.922
 2009-4-28,0.404,1.042
 2009-4-29,0.430,1.267
 2009-4-30,0.471,1.409
 2009-5-1,0.501,1.492
 2009-5-2,0.526,1.477
 2009-5-3,0.540,1.393
