 Date, Qmod[mm/d], Qobs[mm/d]
 2009-1-1,0.000,0.155
 2009-1-2,0.000,0.153
 2009-1-3,0.000,0.150
 2009-1-4,0.000,0.145
 2009-1-5,0.000,0.141
 2009-1-6,0.000,0.136
 2009-1-7,0.000,0.126
 2009-1-8,0.000,0.123
 2009-1-9,0.000,0.117
 2009-1-10,0.000,0.116
 2009-1-11,0.000,0.115
 2009-1-12,0.000,0.114
 2009-1-13,0.004,0.132
 2009-1-14,0.004,0.223
 2009-1-15,0.006,0.212
 2009-1-16,0.005,0.298
 2009-1-17,0.009,0.189
 2009-1-18,0.033,0.456
 2009-1-19,0.080,1.232
 2009-1-20,0.144,1.737
 2009-1-21,0.195,1.554
 2009-1-22,0.253,2.087
 2009-1-23,0.357,2.526
 2009-1-24,0.527,4.302
 2009-1-25,0.665,4.521
 2009-1-26,0.783,4.064
 2009-1-27,0.821,2.544
 2009-1-28,0.836,1.772
 2009-1-29,0.765,2.142
 2009-1-30,0.706,2.068
 2009-1-31,0.644,1.355
 2009-2-1,0.566,1.126
 2009-2-2,0.499,0.844
 2009-2-3,0.438,0.824
 2009-2-4,0.386,0.664
 2009-2-5,0.359,1.204
 2009-2-6,0.361,1.186
 2009-2-7,0.384,1.082
 2009-2-8,0.382,0.785
 2009-2-9,0.407,0.956
 2009-2-10,0.515,1.977
 2009-2-11,0.661,2.160
 2009-2-12,0.697,1.430
 2009-2-13,0.624,1.009
 2009-2-14,0.554,0.840
 2009-2-15,0.487,0.771
 2009-2-16,0.429,0.675
 2009-2-17,0.378,0.628
 2009-2-18,0.334,0.584
 2009-2-19,0.294,0.489
 2009-2-20,0.260,0.441
 2009-2-21,0.230,0.383
 2009-2-22,0.203,0.384
 2009-2-23,0.179,0.372
 2009-2-24,0.159,0.368
 2009-2-25,0.140,0.351
 2009-2-26,0.124,0.335
 2009-2-27,0.110,0.324
 2009-2-28,0.098,0.320
 2009-3-1,0.086,0.313
 2009-3-2,0.077,0.302
 2009-3-3,0.088,0.286
 2009-3-4,0.176,1.100
 2009-3-5,0.312,1.223
 2009-3-6,0.434,0.906
 2009-3-7,0.387,0.639
 2009-3-8,0.352,0.571
 2009-3-9,0.328,0.588
 2009-3-10,0.321,0.586
 2009-3-11,0.308,0.553
 2009-3-12,0.284,0.529
 2009-3-13,0.251,0.492
 2009-3-14,0.221,0.425
 2009-3-15,0.196,0.355
 2009-3-16,0.173,0.326
 2009-3-17,0.153,0.302
 2009-3-18,0.136,0.295
 2009-3-19,0.120,0.291
 2009-3-20,0.106,0.276
 2009-3-21,0.094,0.264
 2009-3-22,0.083,0.251
 2009-3-23,0.073,0.242
 2009-3-24,0.065,0.240
 2009-3-25,0.058,0.229
 2009-3-26,0.051,0.225
 2009-3-27,0.050,0.225
 2009-3-28,0.052,0.249
 2009-3-29,0.057,0.238
 2009-3-30,0.050,0.218
 2009-3-31,0.045,0.198
 2009-4-1,0.040,0.196
 2009-4-2,0.035,0.192
 2009-4-3,0.031,0.190
 2009-4-4,0.027,0.192
 2009-4-5,0.024,0.190
 2009-4-6,0.026,0.192
 2009-4-7,0.028,0.187
 2009-4-8,0.034,0.200
 2009-4-9,0.032,0.225
 2009-4-10,0.039,0.412
 2009-4-11,0.057,1.303
 2009-4-12,0.081,0.694
 2009-4-13,0.094,0.476
 2009-4-14,0.084,0.348
 2009-4-15,0.082,0.480
 2009-4-16,0.093,1.126
 2009-4-17,0.111,0.855
 2009-4-18,0.139,0.604
 2009-4-19,0.152,0.538
 2009-4-20,0.176,0.503
 2009-4-21,0.157,0.461
 2009-4-22,0.140,0.545
 2009-4-23,0.123,0.459
 2009-4-24,0.108,0.423
 2009-4-25,0.096,0.291
 2009-4-26,0.087,0.231
 2009-4-27,0.099,0.223
 2009-4-28,0.148,0.342
 2009-4-29,0.217,0.511
 2009-4-30,0.274,0.377
 2009-5-1,0.266,0.432
 2009-5-2,0.259,0.317
 2009-5-3,0.228,0.269
 2009-5-4,0.201,0.234
 2009-5-5,0.177,0.225
 2009-5-6,0.156,0.315
 2009-5-7,0.138,0.297
 2009-5-8,0.122,0.201
 2009-5-9,0.108,0.183
 2009-5-10,0.095,0.189
 2009-5-11,0.120,0.315
 2009-5-12,0.174,0.544
 2009-5-13,0.252,0.406
 2009-5-14,0.273,0.388
 2009-5-15,0.265,0.351
 2009-5-16,0.274,0.306
 2009-5-17,0.281,0.273
 2009-5-18,0.278,0.273
 2009-5-19,0.254,0.247
 2009-5-20,0.225,0.189
 2009-5-21,0.198,0.175
 2009-5-22,0.174,0.161
 2009-5-23,0.154,0.156
 2009-5-24,0.137,0.153
 2009-5-25,0.145,0.196
 2009-5-26,0.173,0.304
 2009-5-27,0.215,0.245
 2009-5-28,0.220,0.192
 2009-5-29,0.198,0.171
 2009-5-30,0.175,0.150
 2009-5-31,0.154,0.135
 2009-6-1,0.136,0.119
 2009-6-2,0.120,0.108
 2009-6-3,0.106,0.104
 2009-6-4,0.093,0.101
 2009-6-5,0.082,0.098
 2009-6-6,0.081,0.099
 2009-6-7,0.087,0.104
 2009-6-8,0.129,0.117
 2009-6-9,0.194,0.176
 2009-6-10,0.291,0.256
 2009-6-11,0.349,0.295
 2009-6-12,0.366,0.243
 2009-6-13,0.337,0.201
 2009-6-14,0.298,0.162
 2009-6-15,0.268,0.147
 2009-6-16,0.244,0.155
 2009-6-17,0.228,0.135
 2009-6-18,0.202,0.120
 2009-6-19,0.178,0.115
 2009-6-20,0.157,0.109
 2009-6-21,0.138,0.102
